text,emotion
"""HEBREW, ... ... ""NEGRO, RIGHT NOW, YOU ARE AGAIN, THESE DECEITFUL JEW)(ISH), USEFUL IDIOTS, AS DEPENDED UPON, FOR YOUR CONTROLLED LIKE A JEWS ROBOT EMOTIONALLY N MOREN WITH YOU, I/WE ARE MOST DISAPPOINTED N BEYONDTAKE THAT TO HEART N SOUL, AS INTENDED"" *922""BAHRUKH"" *77777",DISGUST
You dont see these videos on youtube so smash the ECHO button and follow me as well because i wil bring these videos upDC: a man is ecstatic after Trump complimented his bright red shoes at the MAGA Million March He said “it’s unusual” for a president to do something this personal with such a small motorcade You can see how happy this interaction made him,HAPPY
She is disgusting.,DISGUST
Pre-planned!,DISGUST
Here us roar,ANGRY
Disgusting,DISGUST
"I'm fighting! I will never live my life as a ""sheep""",ANGRY
"For those of you getting scared... This is only the beginning. People are tired, & this needs to happen. It will be coming to your doorstep so be prepared, vigilant, & armed. The enemy doesn't play by RULES!",FEAR
I doubt this was the protesters that was probably a nervous security officer,FEAR
Wow!!,SURPRISE
"People storm the #capitalbuilding which I do not agree with, and they’ll be called terrorist. #blm and #antifa ACTUALLY destroy things and it’s a #peacefulprotest . This is like “Sum of fears”. “It wasn’t the Russians!” rather rogue agents behind the scene. #protests #washingtondc",FEAR
Wow 🤩 just wow! ❤️,SURPRISE
Love This 🇺🇸🇺🇸,HAPPY
AMERICAN PATRIOTS!!!LISTEN UP HERE IS THE COMMUNIST SCARE TACTIC THAT ILLEGITIMATE PEDO JOE OR HIS KAMEL TOE WILL GET ON THEIR KNEES AND SUBMIT TO THIS COMMUNIST SCUMBAG!!!LET HIM SEND HIS SOLDIERS FROM THE BOARDERS OF OUR COUNTRY!!!AS A JAPANESE GENERAL WAS ONCE ASKED WHY JAPAN NEVER INVADED AMERICA HIS ANSWER WAS YOU PEOPLE HAVE GUNS!!!WE WILL NEVER BE A COMMUNIST COUNTRY!!!THEY MAY TRY!THEY WILL LOSE!FACTDO NOT UNDERESTIMATE THE AMERICAN PATRIOTS,FEAR
This is ridiculous,DISGUST
Patriots are taking it to the streets,ANGRY
"So if you wear a MAGA hat and shirt you HAVE to be a Trump supporter???? If you ask me, this was another move by the elite left to sway congress. Fear works well. Divide and conquer!!!! United we prevail divided we fail!!!!!",FEAR
He's Antifa,ANGRY
👇🇺🇸💥💥💥💥💥,HAPPY
Disgusting man!!,DISGUST
This woman is antifa notice she's taking photos of Republican paperwork,ANGRY
My thoughts and prayers go out to Ashley’s family. May she Rest In Peace. Her killer WILL NOT GO UNPUNISHED FOR HER UNJUSTIFIED DEATH. 🙏🇺🇸 😢#wethepeopledemandjustice,SAD
Love this!’,HAPPY
Its antifa,ANGRY
Mother loving Grrrrrrrrr..,HAPPY
"Nicely said, but it’s painful to watch masked speakers. I want to see your expression, your passion.",SAD
Why is down?,SAD
🙄..... shocker..,SURPRISE
PURE EVIL in our government with no remorse that wishesww would go away,DISGUST
Well said! This is exactly what I find disgusting!,DISGUST
"Tomorrow is a big day. My support and prayers go out to all exercising their right to assemble in DC today and especially tomorrow. This is a chance to show everyone that we won't back down. No doubt, we will see the media calling this a ""far right"" or ""white supremacist"" movement. But stay strong. Antifa, blm, and the left are going to start fights to make this look violent. This is a planned and calculated attempt to send a message... Conservatives and patriots are not welcome. This means they fear us. We are the only thing standing in their way#holdtheline",FEAR
Should be a good day in DC,HAPPY
Scumbags everyone of them.,DISGUST
Cause its fear of punishment that keeps idiots in their boxes.,FEAR
"Nothing stinks more than a group of lying Demonrats. Their breath alone is toxic. From their toxic breath, fills a room of lies. Until the stench becomes unbearable, even for them. The poisonous air soon fills their heart. Ice runs through their veins. They care not for humanity, only a pretext, for a money laundering scam....",DISGUST
Warms the heart!,HAPPY
What a sad day in America.,SAD
It is our greatest fear that the cowards around the President will not carry out his orders.Fight for Trump and our country!,FEAR
I’ll be going live tonight to discuss today’s events. Any case you haven’t figured it out yet I’m a bit fired up. You may want to tune in. I will link in another post,ANGRY
US Capital is on Lockdown,FEAR
That's great,HAPPY
Jerk,ANGRY
Sad But true 😑,SAD
"Mydog, in front of snow.He looks like he is on of the clouds #shibainu #shiba",HAPPY
Tea party time!!!! newameeica.org,HAPPY
This breach is Antifa,ANGRY
If this is true the Jan 20th event needs to be pushed out 6 to 9 months pending a complete investigation. There has to be someone in the FBI who is honest and can be trusted to complete the investigation and come back with the true facts! His statements are just down right scary and very believable.....,FEAR
This is sickening,DISGUST
See David Harris Jr Big Statment Today!,SURPRISE
"“Weeno” Fox News reporter escorted by police, fearing chants of “Fox News Sucks” by Patriots 😂🤣🤪",FEAR
I love it,HAPPY
"@tomfitton<a href=""/profile/linwood/posts"" class=""at"">@linwood</a>Everyone and their Uncles know Seth Rich was murdered and WHY.So you all are afraid to tell the truth because of>>?Tom will not do itMr. Wood, you need to do it NOW!",FEAR
Love this and Love all you President Trump Supporters True PATRIOTS,HAPPY
DOX THIS PEDO FILTHY COMMUNIST,DISGUST
We are at war people!Lock ‘n Load!,ANGRY
This is great,HAPPY
You are disgusting,DISGUST
De Blasio Rips Cuomo’s ‘Arrogance’ on CoVID Vaccine Rollout Plan,ANGRY
Happy Defendence Day!,HAPPY
Wow! Doing it again!,SURPRISE
It’s official guys I’m ordained! Praise the LORD! Praise you JESUS! Praise you FATHER! All things are possible! TO GOD BE THE GLORY 👑🔥🛡🕊💫🙌🏽🛐✝️🙏🏽,HAPPY
It is not normal! Ridiculous.,DISGUST
This tugs heart strings....,SAD
Breaking news out of DC,SURPRISE
"After everything I have witnessed today as reported by mainstream media the statements on the capital building floor by our so-called leaders.... Plus, everything I've seen around this country for the past four years. For the first time in my life I am actually afraid of our government.",FEAR
Wow!!!,SURPRISE
Antifa at it again,ANGRY
DO YOU THINK BIDEN AND HARRIS ARE SCARED?,FEAR
This article is mind blowing,SURPRISE
We peacefully and respectfully follow you,HAPPY
Wow! Bombshell. BarryO orchestrated,SURPRISE
yup a slimebag bitch just another powermongering grifter,DISGUST
WOW! 🇺🇸,SURPRISE
"Shout Trump, Trump as you beat the back.",ANGRY
Communist democrat swine,DISGUST
Disgusting.,DISGUST
this is great,HAPPY
"This makes me so happy. Doing it right patriots, doing it right🇺🇸🇺🇸🇺🇸🇺🇸",HAPPY
THIS IS AN ANTIFA STUNT!!,SURPRISE
After assaulting the Trump supporter and busting her eye wide open she was handed over to police and police protected her from the crowd and let her go.,ANGRY
"Just, wow!!!!",SURPRISE
Soon as the Italy story broke they blacked out trump wood Giuliani Powell they scared trump call Marshall law arrest them now enough is enough or we the people will arrest them ourselfs,FEAR
Every chance we get we will be doing this and taking joy in it.,HAPPY
I can almost hear the crying 3 states over!,SAD
This is what happens when the GOVERMENT Finally fears its people !!,FEAR
Video: HuffPost Contributor Goes Ballistic On Men Drinking Coffee Without Masks,ANGRY
Love it!,HAPPY
Big Breaking News:PA has spoken. The legislators are overruling the Secretary of State.,SURPRISE
"#parler #parlerusacongress afraid of a ""Few Patriots"". Not quite ""the Fighters"" we thought!!!",FEAR
"Bottom line and nobody talks about this Sean. Its not that they hoped Congress would overturn election its people that have been silent way too long. Afraid about 2nd ammendment, tired of fake news, tired of being lied too. DC thought a Republican rally would be as always peacefuland then go home. Govt. and States are going Dem way in fear of retaliation. Well guess what?? Now its both sides now!!!!",FEAR
Yeah you can run but you can’t hide and we won’t forget. We will REMEMBER,FEAR
"We are about to find out the true from the false. Who has the fear of man, and who has the Fear of the Lord! The decisions you make will always give you away! If you fear man more then God, you are not only on the loosing side, but you are serving the Dark side! ... -",FEAR
"What say all of you? I'm trying to follow all the info, and so many people have come forward - it makes me wonder? But most of all, it makes me afraid for all elections going forward. Will we ever have another transparent and accurate election?",FEAR
Wow just wow,SURPRISE
I fear there are all demons coming up out of the Swamp. The Deep State is probably all child molesters.,FEAR
What a showing!!,SURPRISE
"Wow, a new twist.",SURPRISE
Look at the Tweet Killary just dug up. Panic?,FEAR
"A sobering but well-reasoned analysis of the current situation facing our President  @Name Hidden , our country, & our future as a free people.The time has arrived for each American citizen to take a stand.Patriot or Traitor?",SAD
Now they are VERY nervous at CNN and NBC.,FEAR
"BREAKING NEWS: Republican turnout in Georgia was HUGE today, far surprising the Republican voter turnout on November 3rd. Senator David Perdue has already pulled ahead of Ossoff 50.3-49.7 with the vote results in the Republican stronghold counties still not reporting. Senator Loeffler has pulled even with Warnock with 68% of the vote in.",SURPRISE
Wow! What is happening?,SURPRISE
Trump is my president for 4 more years! I will not concede or comply! I stand with patriots! Everyone else can piss off. Signed sincerely pissed off Patriot. Ps gop and dnc you are done.,ANGRY
Corrupt commie cunts,DISGUST
"Jim Jordan Goes BEAST MODE on House Floor, Confronts Dems on ElectionWell said Jim Jordan",ANGRY
"#Italydidit. Unfreakin' believable! You MUST watch!God is ensuring that the truth is revealed. The house flipped red, we won the Senate and President Trump won in a landslide with margins never seen before or will ever be seen again. This is exactly what the Lord revealed to me!!!",SURPRISE
That was such a brilliant speech by Trump today. The man's intellect always amazes me.,SURPRISE
“And then they ran to the mailbox” boy that got me fired up!!!,ANGRY
"If you are a Christian or if you're not there yet, but you're a Die Hard American Patriot, you ABSOLUTELY have to watch what the lady has to say.Because she lays it all out on the line about what COVID19 and the Globalist banking System have in common.And the Global shut down of NON ESSENTIAL BUSINESS' ( NOTICE NO ONE HAS STARVED TO DEATH YET IN WESTERN COUNTRIES )...Many of US here and elsewhere have said its about us to become compliant and the next step is to turn us into SHEEP and then SLAVES, MS. Fitts Touches on all of this.The Vaccines are a way of getting us to be ready and willing to be Chipped so we will all have a Global I.D and be issued a living wage, she actually calls it The Mark of The Beast in the beginning...She further goes on to say the GLOBALIST are afraid of the masses especially AMERICA BECAUSE WE HAVE GUNS.And she said the Democrats first order of Business is to try and DISARM AMERICA.CHRISTIANS WE WERE RIGHT, CHRIST WARNED US, AND HERE WE ARE.",FEAR
1776💥💥💥,HAPPY
"Speaker sounded scared. That’s good. You better be, motherfucker. The fallout from this sham election will be #biblical 🏴‍☠️",FEAR
"In a war, you fight back. The demonic left has been at war with the foundations of America for some time. General Patton had the right idea.",ANGRY
"“Therefore, stripping off falsehood, let everyone speak truth with his neighbor, because we are intimately related to each other as parts of a body. Be angry, but don’t sin — don’t let the sun go down before you have dealt with the cause of your anger; otherwise you leave room for the Adversary.”Ephesians 4:25-27",ANGRY
"I am totally disgusted by this! Echo if you are too and follow <a href=""/profile/DonaldTrumpfor2020/posts"" class=""at""><a href=""/profile/DonaldTrumpfor2020/posts"" class=""at"">@DonaldTrumpfor2020</a></a",DISGUST
Pussy.....stand and fight,ANGRY
"BREAKING: I don't think there is going to be another objection, I think it's over — Sen. Rand Paul",SURPRISE
We will skull fuck you Iran bring it on!,ANGRY
"Senator Cruz's proposal to audit these States is their greatest fear, everything flips. The President has indicated up to 8 states are subject to vote authentication where a crime against the US citizens has taken place. We are most familiar with these 6 states, PA, MI, WI,GA, AV, and NV. After we do a 6 states audit, it will determine that several million or several hundred thousand ballots were fraudulent, either by fake paper, fake mail-in, dead person vote, out of state voter, under age voter, felony voter, no resident exist, no such person voter, switch over vote, or other legal reasons for ballot disqualification. We would next have a down ballot change for several people in local city races, congress, senate, and more than likely change the majority in the Senate & Congress. This is what the Democrats, RINO’s, and the DeepState media is keeping quiet about. Our Nov 3, 2020 citizen vote decision must be honored; our nation US Constitution must be honored. This audit must happen.",FEAR
Term limits for these smelly old relics‼️‼️‼️🖕🏼🖕🏼🖕🏼,DISGUST
Me too. Glad you're here.,HAPPY
We are at war.,ANGRY
Love it❤️❤️❤️,HAPPY
THERE WILL BE MANY A SCARED DEMOCRAT INSIDE THAT BUILDING. THERE IS NO IRON WALL IN FRONT OF PELOSI NOW.,FEAR
"If Trump doesn't stay in office, we become venezuela. Very sad.",SAD
The Left wouldn’t hesitate to do the same. The Left plays dirty and then throws a temper tantrum when they start to lose after they tried to win by cheating.,ANGRY
Very sad day iN AMERICA!!,SAD
"Today, I'm going to the cemetary with the civil war soldier buried by my home.I will pray, ask forgiveness & cry like a baby.",SAD
We’re Going In – A Sign of Hope,HAPPY
Totally amazing. WOW!,SURPRISE
Prayers for her family,SAD
I’m sure glad you did Mr President 🦅❤️🙏🏻🇺🇸💯👊💫,HAPPY
Guns up!,ANGRY
Trash,DISGUST
Same old crap!!,DISGUST
Beautiful!#Breaking #MarjorieTaylorGreene #TrumpWon #Mask #Trump #DonaldTrump #President #Georgia #Wisconsin #Election #Michigan #Arizona #Pennsylvania #UnitedWeStand #TrumpRally #Liberty #Justice #WeThePeople #Patriot#TrumpWon #FightForTrump #intelligence #Pentagon #Defense #Biden #Truth #StayStrong #Believe #KeepTheFaith #POTUS #HappeningNow #Vaccine #virus #AmericaFirst #TeamTrump #Trump2020 #USA #Texas #Faith #Freedom #Justice #StopTheSteal #CancelTheCoup #News #InfoWars,SURPRISE
2021: Work Harder than you ever have in your entire life.6 months - 3 films - 1 goalLet’s Get it!#besthorrorfilmever #redgatefilm #jesuschristsuperstar2020 #2020Films,FEAR
I’ve been telling you very one that this all looks staged .... shame on them!,DISGUST
THIS is Communism to the 100th Degree,DISGUST
Well shitbag Roberts was afraid of protests and didn’t do it so here ya go,FEAR
"They weren't Patriots, they were Antifa. The tragedy is that Patriot Ashli Babbit followed them in. Those same Antifa terrorists were taking selfies with the ""DC Police"" a short time later.",SAD
♥️♥️♥️,HAPPY
Another Media FAKE NEWS BULLSHIT story!,DISGUST
Lmao ugly Mike with the bulge,DISGUST
Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he can’t even get the words out straight. Sad to watch!,SAD
"Boy, did Lindsey Graham call it! Wow!",SURPRISE
"Furious over #censorship, Finchem drafts legislation to fine #bigtech for every user in #Arizona",ANGRY
"The level of support for Trump is commendable. He’s a PATRIOT, and he has ALWAYS fought for FREEDOM!Sadly, the truth is, a Republican will NEVER win a REAL election again.",SAD
This is disgusting.,DISGUST
Cheaters will always cheat,DISGUST
"BREAKING:Cobb and Gwinnett counties are counting EARLY votes first along with some other counties explaining the Democrats’ early lead. This time, it is expected Republicans will catch up rapidly as the night unfolds. (Shocking) CURRENT NUMBERS:Ossoff: 190713Perdue: 111598Warnock: 191683Loeffler: 110134",SURPRISE
Mostly peaceful,HAPPY
I love these people.,HAPPY
❤️🙏🌗ISAAC KAPPY🌓🙏❤️🐸BRACKETS- & -JACKETS🐸2020 EDITION🌕WWG1WGA,HAPPY
"“If Democrats are 100% convinced that Biden was fairly elected, they would have no objection for a thorough investigation and analysis of the election results. By objecting to an investigation, they are admitting they are afraid that discrepancies can be found.”",FEAR
"I’m so sorry for this horrible tragedy. If she was in the capital, she should not have been in there",SAD
Love this,HAPPY
Now we go on the offense.,ANGRY
"“Hope has two beautiful daughters; their names are Anger and Courage. Anger at the way things are, and Courage to see that they do not remain as they are.”~Augustine of Hippo",ANGRY
Very Scary 😧,FEAR
WAR IS ON,ANGRY
Rumor is antifa and blm are in police uniforms,FEAR
This is f-----g despicable. This b---h cheated and is still being allowed near our votes.,DISGUST
"“Always a sad thing to see a pup neutered, but the Democratic Party, it seems, has to keep the moderate population down.” #Editorial #WashTimesOpEd",SAD
BULLY BULLY FOR TRUMP,ANGRY
Twitter has gone mad with power.,ANGRY
MERICA......LOVE LOVE LOVE THIS!!!!!,HAPPY
"When they want to steal our country, you are damn right we are going to fight back!",ANGRY
But they called it? Too fucking familiar!!!!😡😡😡,DISGUST
"The left was scared to let Cruz, Harley and others speak today, so they sent their ANTIFA goons dressed like Trump supporters.",FEAR
Ted Cruz had a surprising answer on the best way to combat voter fraud - Patriot PulseGET THIS ECHOED VIRALLY!!!!!!!!! Make this go viral!#ChallengeElectoralCollege #TedCruz #ElectoralCollege #makethisgoviral #viral #DeclassifyEverything #WeThePeople #USA #1A #AmericaFirst #DeclareMartialLaw #MartialLaw #InsurrectionAct #FightBack #FightLikeAFlynn #DoNotConcede #HoldTheLine #StopTheSteal #Trump2020 #GodBlessAmerica #12thAmendment #Trending,SURPRISE
Incredibly sad. A 14 year #veteran was shot by law enforcement at the #Capital today. #DC,SAD
"This is the first time in my life that I am in fear of what the next four years will bring! To see our country and our democracy to fall into decay with the ideology of win at all costs and what ever it takes for political power is frightening! I truly doubt we have now become a banana republic where votes are bought and sold to achieve their desired outcome! The Democratic/Socialist Party has forever changed America and will be the downfall of this great country!The true racists, bigots and oligarchs stole the 2020 Presidential election with a flawed candidate whose mental capacity is diminishing daily and whose #2 is the Queen of bias and dislike for this country!Oh Lord pray for all of us for they do not know what they have done to this great country!",FEAR
Total POS,DISGUST
OK this is pretty telling and disgusting,DISGUST
Wowzer!!!!!,SURPRISE
Find and destroy These filth. It is past time,DISGUST
I am afraid this country has seen the LAST free and honest election.,FEAR
Love it!!,HAPPY
The sad part is that this is satire.,SAD
Same old same’O mess! 😡🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,DISGUST
This is not my America and I am in mourning.,SAD
"The mayor is afraid, and she should be!",FEAR
This makes me so happy,HAPPY
BREAKING NEWS...Attorney General Barr says he sees no evidence of rioting in the Capital today !!!,SURPRISE
Hahahahaha/ he's antifa,ANGRY
"According to the United States Flag Code, hanging the flag upside down is a signal that the owner of the flag is in extreme danger. The person's life or property has to be threatened. If the flag is hung upside down, military personnel recognize this as a call for help.",FEAR
Wowza...,SURPRISE
bait in riot,ANGRY
"LEOs are you proud of yourselves ? You let Antifa and BLM burn cities to the ground, Loot businesses, throw molotov cocktails at you, bricks, urine bombs, fireworks, murder police, murder innocent civilians while you stood down like little bitches, but you murder an unarmed woman. You disgust me !",DISGUST
Wow! Just unbelievable!!,SURPRISE
"If it doesn’t happen through either Congress or through the insurrection act and the military, it will happen through WE THE PEOPLE and our 2nd Amendment rights. Sadly, allowing the steal of our country means certain death to all true Americans and their families. 80 million plus should already be ready to roll. Hopefully it won’t be needed as it will be ugly but options are running scarce.",SAD
Perfect reflection of those who are asleep and living in fear...🐸🐸😎🐸🐸,FEAR
"Wow,...",SURPRISE
Must ListenKraken is starting to get Unleashed...Download the entire Audiorecording #JoeBidenCheated #ObamaCheated4Biden,ANGRY
"Sir,... I’m not enjoying this show ..... I’m so sad, for All Patriots,.... The American People.. & You,.... You, Sir, were the best President in my long life.. I Thank You,... my heart is broken .. ....🌟⭐️✨",SAD
McConnell Returns To The Sea | The Babylon BeeI hear distressing news that while swimming leisurely off the coast of an artificial island in the South China Sea turtleboy was caught in the net of local fishermen and sold in the #wuhan market. Sad,SAD
"This means FUCKING WAR, Antifa BLM can Riots,Steal,Loot,Burn down buildings and kill whoever they wish, But Trump gets Screwed out of Presedency and we cant Sipport him, YIU FUCKING DEMOCRATS ARE NEARING YOUR LAST BREATH.",ANGRY
"I have no idea extent of blackmail scheme of raping & killing children but given the number of agencies involved, the hundreds of thousands of missing children, & the otherwise inexplicable actions of many powerful officials, celebrities, & business leaders, I fear the worst.",FEAR
This guy suck at everything. Including cheating.,DISGUST
"Warning:the vaccine itself will increase the severity of the virus once person is actually exposed to covid. nobody is talking about this. crickets. this is my biggest fear. the people who think they need the vaccine the most are going to die from it the moment they’re exposed to covid.will this actually happen?odds are saying sofrom the research:Conclusions: These SARS-CoV vaccines all induced antibody and protection against infection with SARS-CoV. However, challenge of mice given any of the vaccines led to occurrence of Th2-type immunopathology suggesting hypersensitivity to SARS-CoV components was induced. Caution in proceeding to application of a SARS-CoV vaccine in humans is indicated.#covidvaccine #vaccine #vaccines #notovaccines #nomandatoryvaccines #novaccine #covid19 #covid",FEAR
