text,s_palak_label,s_ben_label,p_palak_label,p_ben_label
In the LA area. Anyone want these books. They brought me joy and now they can bring joy to someone else.,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Awesome.... let it be heard.... loud and far,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
My thanks to Javier Manjarres:,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Nice. Nancy is a genius. “The smartest guy I know..”,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Halperin is a shit clown <a href=""/profile/newsmaxtv/posts"" class=""at"">@newsmaxtv</a> . That clown must truly live in a bubble. Disgraceful",OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Proof Positive.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
BLM gets kid gloves treatment. DC is crap.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Our country is doomed,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"""I have never in my life envied a human being who led an easy life. I have envied a great many people who led difficult lives and led them well."" - Theodore Roosevelt",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Welcome. Looking forward to reading your stuff.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"So why the heck are they calling the election for the Dems?! Never mind, that’s a rhetorical question. I KNOW WHY! THEY CHEAT",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
So true,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Of course payrolls declined in December. Small businesses have zero confidence in Biden. He hasn't even been inaugurated and we are heading into a recession.No way America elected this fool!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Since when does playing games give anyone priority over high risk groups? People playing chase and chucking things around do not qualify jumping the line over the elderly and their carers. How low can people get?,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
good entry level awakening watch👇,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Same old crap!!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Love this chyron!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
PENCE IS A COWARD,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I approve of this message,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Love our President,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Always trust the experts..,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Complete bullshit,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
So true!!IN GOD WE TRUST! No matter what!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Good job Matt!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
A MUST WATCH!!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
He's really good at this...,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
She is a real piece of shit!Joe Biden and her are a perfect match.,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Loud & proud!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Schiff is a disgraceful rotten traitor POS,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"Parler is a garbage app.Every time it trends it just constantly crashes.It’s been how many years now and no updates, no fixes.Its honestly embarrassing that this is what our side puts out to compete in tech.Parler has such a big opportunity here to become a multi billion dollar tech company.",OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Exactly!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
They dumped ballots for Warnock to steal the seat. This needs to be fixed today!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
An absolute must watch tonight!!! Please watch and share Patriots! We are going to win! God Bless you all and God Bless America!!! 🇺🇸🇺🇸🇺🇸,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
But very successful!!?,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
EPIC,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Adam Shiff not having a good Christmas huh?,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Love it!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Soros is a traitor / terrorist snd must be erased,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Welcome!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
True Patriot.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Leadership and Courage at Work for our Country ❤️🇺🇸💯👍,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
IS THIS WHAT YOU WANTED #SCOTUSROBERTS YOU TRAITOROUS FAILURE OF AN #AMERICAN,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I LOVE THESE PATRIOTS,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Bam! Love our Patriot Candace!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Awesome lol,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Loss of votes how does that happen Fraud time to burn them to the ground,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Thank you Lin and President Trump - all Patriots love you!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Thank you for parlaying this inspiring video,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Not good,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Watch Chris Salcedo’s show on NewsMax. He is giving excellent coverage.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
That’s awesome,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Powerful!! Please give it a listen!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Qll scum,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Good capture soldier! Keep it and carry on!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
We love you Sir.God Bless you,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
You got my attention!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
FUN FACT:BLM DID ANOTHER GREAT JOB COUNTING THE VOTES IN GEORGIA.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
A PATRIOT,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Is President Trump waiting on the executive order until he finds out who all of the last minute traitors are? We can only hope. But time feels like it's running out.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Got something for ya,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
"Well spoken, John. Thank you.",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"“There appears to be a significant disconnect between the figureheads of Twitter and Facebook. A disconnect between what they would like to believe is happening, and what is actually happening. Although they seem genuine in their interest of protecting the conversation online, they fail to understand one basic concept. That policies are interpreted through the lens of those doing the interpretation.”#Facebook #Twitter #SocialMedia",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Recount Georgia! Lying fucking bullshit! We know damn well the scum libtards did not win the senate!!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Wow!!! A set up!! We the people will stand up🇺🇸🦅❤️🤍💙,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
The best President ever,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Pence failed.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
#KabukiShow That's all Pence was... #TraitorTrump rips Pence: 'Didn’t have the courage to do what should have been done',OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I do agree,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
She is totally wicked...!!!...,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Way to Go!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Thank you SIR! God bless you and keep you and POTUS safe 🙏,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"a href=""/profile/SeanSpicer/posts"" class=""at"">@SeanSpicer</a> there you go.....moron. Now resign your position",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I know in a revolution they call the good guys terorists. I have been through that and luckily i can see very clearly. Make america great again,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
We are with the best president ever Donald Trump ❤️ECHO if you agree ❗️❗️❗️,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
This wins today!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
This is so awesome,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
BREAKING: MO Senator Hawley becomes first sitting US Senator to commit to objecting to Electoral College certification. THANK YOU! Wisdom and courage!Echo if you support Josh Hawley!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
You are a total patriot and are very smart,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Want a smile...watch this!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
So VERY true. Look at them.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
History will judge you well.Q,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I love this woman. Keep up the great work.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
We’re LIVE,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Powerful message by #TedCruz,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Congratulations to team USA on winning gold in the World Junior Hockey Championship. They shut out Canada 2-0 for the win. Great win boys!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I just saw the embarrassing Senator Blumenthal from CT now there’s someone who should be censored,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Awesome! 👍,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"Election unfair it makes me sick! Again, you stole it you sick mothafucking Democrats.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
A disgrace,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Fantastic job from Trump helping democrats winning it all,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
FLASH: Lin Wood reports his Twitter account has been suspended,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This is the historic moment when Vice President #Pence confirms Biden's victory as #President of the United States. #Biden,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
I am utterly disappointed 🤬,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This is dangerous propaganda. How could CBS do this? Because they are evil. It's like calling the police and saying your neighborhood is brandishing a firearm with intent to harm others. SICKENING.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I guess he hasn’t read the Constitution,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
That idiot is not a Trump supporter! This is such a farce!! We have a Congress of Fools that believe this crap.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"BUILDING BREACHED, OR LET IN?*THE WORST STAGED ACTING EVER......SETUP!BIDEN WILL NEVER BE PRESIDENT!***Enemies of America***▪[D] Party MSM (fake news)▪ Corrupt Politician Leaders▪Twitter/Facebook/Google▪ Hollywood#potus #wethepeople #maga #maga2020 #trump2020 #parler #kag2020 #teamtrump2020 #stopthesteal #qanon #wwg1wga #deepstate #thegreatawakening #trumptrain",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This is bullshit...BLM riots..no one shot...this country sucks,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Today feels like a bad hangover,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
President Trump we love you,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Brave yourselves Patriots,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"My Fellow Americans,There will be no #BolshevikBiden Adminstration.All True Americans, not just in the US, but worldwide in Spirit know that  @Name Hidden  will be sworn in for another 4 years.The corrupt Deep State Propaganda apparatus has lost its sway over US! #EnjoyTheShow",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
What scum,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Does anyone know what happened with Pence today? I heard that he did not do the right thing and object to certifying the fraudulent states Electors.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
So proud of the patriots. GO GET EM.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Love this...😇😇😇🥰👁👁💥💥,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Its true,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Thank you. You are a good man.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Do not forget THAT!,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
"Washington DC Police are domestic terrorists. If you arbitrarily “back the blue” you need your head checked.My stance, until all of Law Enforcement comes together to stand with The Constitution, the American patriot and against police corruption, is Fuck the Police.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"WTF is wrong with Mitch McConnel. What a POS! Is there a way to recall a senator? This pompass windbag needs to retire along with all the other pompass windbags on both sides of the aisle.If these fckheads think that we are stupid out here in the real world that have suffered because elected officials are not honoring their oath of office.The Constitution is not up for debate!These fckheads saying that the election was fair are full of shit! I'm so pissed with these naysayers calling it a conspiracy.IT'S TIME FOR A CONVENTION OF STATES!!!!!We NEED to take the power away from government bodies that don't give a flying fck about their constituents.McConnel, you are a fcking liar. You and your fellow rino's, along with the democrat chinese communist party should all be stuffed into Gitmo for treason.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
I am a proud patriot and i am glad i was in the capitol building and i am not ashamed to say that. And i will join my brothers and sisters again peacefully but firmly. Follow me for updates,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
My thoughts and Prayers go to Ashley and her Family! We will take it from her my Sister! God Bless!,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
Praying for you brother! May the Lord bless you and keep you and give you vision and wisdom in this time.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
THIS IS BEAUTIFUL,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Sure is,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Georgia County Announces They Are Going To Stop Counting Votes Until The Morning,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
"You've been conned--but not in the way you think. It's so, so much worse than you think.",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Valid point,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Reports that capital police have reported on their radios that they have lost control,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
The truly elected President!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Nancy will just love this,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Amazing!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
So horrible,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
This is war,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
"Here Georgia Senator David Perdue loses another 50,000 votes to Dominion-Smartmatic electronic thievery on camera:",OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Dan Bongino is right! Listening to these Democrats and Republicans decry for the Constitution is hilarious! They through the Constitutionout in all these states in the November election. You made the new rules. Now we are going to live by your new rules.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Maybe if we give Stacey Abrams a couple of fast food gift cards she'll give us a FAIR ELECTION. SCREW HER.,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
Shut the media out,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Nice....,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Not surprising!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
A generous man will prosper; he who refreshes others himself will be refreshed.~Proverbs 11:25,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Yes you do 🙏🇺🇸😂🇺🇸. Thank you for fighting,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
True Story,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
So everything he put into place should be reversed.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Today is a good day!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Love This 🇺🇸🇺🇸,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Welcome to the LIGHT SIDE!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Than the steal happened in Richmond county Augusta . The machines were down,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Looks like DC Police are pissed off tonight.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Coward too,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Absolutely gorgeous photo of a HUGE number of Patriots!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Good times,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Worthless nigger bitch,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Nice!!! 👍🏻👍🏻,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
BEST. ONE. YET.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Beware of following in the same direction of any crowd. People are stupid.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Nurse in 'perfect health' found dead after getting a COVID-19 vaccine STAY THE FUCK AWAY FROM THIER FUCKING VACCINES !!! WWG1WGA,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Very true,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Can’t open it.,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Thank you President Trump!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Valuable perspective.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
It’s true though,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
We love OUR PRESIDENT! 🥰,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
she is definitely dead,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
A bad election is no good even with minimal cheating.You either have a valid processor none.....void the whole process,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
What a wonderful thing to read.,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Thank you so much for the reminder of that phrase. A legitimate path for the safety of our nation!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
Out you go!,OPINIONATED,OPINIONATED,NEGATIVE,POSITIVE
CORRECT,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
COWARDS!,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
Coronavirus mandates have failed... maybe we should try some woman dates 🤣😂 y’all know women do it right the first time! #plandemic,OPINIONATED,OPINIONATED,POSITIVE,NEGATIVE
Thank you for sharing!!!,OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
"For me, prayer is a surge of the heart; it is a simple look turned toward heaven, it is a cry of recognition and of love, embracing both trial and joy.— St. Therese of Lisieux",OPINIONATED,OPINIONATED,POSITIVE,POSITIVE
I hate our governmental representatives...,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
PENCE IS A FUC-ING COWARD. #PENCE #TRAITOR,OPINIONATED,OPINIONATED,NEGATIVE,NEGATIVE
