,text,e_palak_label,e_ben_label
32,TIME IS NOW...WAR,ANGRY,ANGRY
33,"Bill Gates and the companies who are like him, who push vaccines and think Covid is actually real, will finally see just how many people will echo this post and not take a vaccine. The whole Parler will be surprised when 10000 people will echo per post. Make sure to follow me because i will bring up much more of this content",SURPRISE,SURPRISE
34,General Flynn surprise speech at Freedom Plaza… – CITIZEN FREE PRESS,SURPRISE,SURPRISE
35,"Washington, D.C.Witness claims a police officer shot a woman climbing through a window. He holds up his hand claiming to be covered in the woman’s blood.#MAGA",ANGRY,ANGRY
36,"Is the destruction of property much different than in Boston in 1773? How did we get here. Do you think any of the elites in DC will be asking that? No, they'll look to blame everyone else, except for themselves. People fighting always think they are on the right side, why else would they fight?But the elite aren't fighting, they're talking. It doesn't take much to talk, but it takes something to listen. But they won't hear this cry from we the people either. They will look to blame someone, anyone but themselves for how we got to this place. I'm sad tonight. Looking at some of these photos, it looks like a socialist country fighting an evil regime. People are fighting to be heard. Be heard by anyone, but especially the elected elite that make all of the rules that are crushing we the people.The nation has been divided, just like in 1861. But this time, it's the elite vs we the people.Sad day in our nation!",SAD,SAD
37,Women for America Firstis saddened by what has happened at the US Capitol this afternoon.We are not involved in the storming of the Capitol and do not condone any type of violence.We support law enforcement and encourage everyone to remain peaceful.,SAD,SAD
38,Lemon turd,DISGUST,DISGUST
39,Love this and Love all you President Trump Supporters True PATRIOTS,HAPPY,HAPPY
40,"The level of support for Trump is commendable. He’s a PATRIOT, and he has ALWAYS fought for FREEDOM!Sadly, the truth is, a Republican will NEVER win a REAL election again.",SAD,SAD
41,"PAINE IN THE MORNING: The 9 things you need to know this Wednesday Jan. 6th, 2021 -- WE KNOW Who Didn't Win the Georgia Senate Runoff Elections ... – True Pundit",SAD,SAD
42,Typical politician said what she needed to to try and get elected...maybe her loss will speed up the reconstruction of a new party?,FEAR,FEAR
43,Echo the crap out of this,DISGUST,DISGUST
44,🙏🇺🇸AMEN!!!!!,HAPPY,HAPPY
45,This is antifa.,ANGRY,ANGRY
46,These guys are Philadelphia Antifa,ANGRY,ANGRY
47,yup a slimebag bitch just another powermongering grifter,DISGUST,DISGUST
48,DC Is Starting to Panic as It Becomes Clear How MASSIVE Pro-Trump Rally Will BeGod Wins!,FEAR,FEAR
49,"This guy #raulgrijalva just looks and speaks like a sloppy #liberal train wreck. #mask doesn’t fit, no tie, comb over, crumbs on his shirt, slurred speech, it’s like he was sculpted by the liberal gods...",DISGUST,DISGUST
50,"This apparently is what happens when citizens are seemingly ignored and belittled. Sad, but not not surprising.",SAD,SAD
51,He’s a swamp dwelling coward,DISGUST,FEAR
52,Just got to DC...It’s sad to see such a beautiful city turn into• Businesses boarding up• Police blocking roads and sidewalks• Military presence everywhere This is what happens when a city kneels down to the radical leftist mob.,SAD,SAD
53,Scum of the earth.,DISGUST,DISGUST
54,Lots of Love,HAPPY,HAPPY
55,We are at war people!Lock ‘n Load!,ANGRY,ANGRY
56,"This is the communist propaganda news network CNN they make it sound like this was a horrific thing to do but it was a very American thing to do so they’re trying to turn it out to it was a big riot they were riding we were peaceful protesters if this would’ve been a democratic communist riot or us or rally there would’ve been more violence and Mayham going on other than a few from over 100,000 Trump supporters showing up to support the rigged election",FEAR,FEAR
57,What a pussy! Disgusting,DISGUST,DISGUST
58,PURE EVIL in our government with no remorse that wishesww would go away,DISGUST,DISGUST
59,"BREAKING: Trump Calls For Peace In Urgent Video Message; 'You Have To Go Home Now. We Have To Have Peace""",SURPRISE,SURPRISE
60,"Brian Remy, a constitutional attorney, sent a Letter of Counsel to VP Pence, outlining with citations the authority that Pence had and the variety of paths that he could take. (Go to YouTube) Sadly, VP Pence took the path requiring the least courage. I am encouraged to see 100s of Thousands of beloved Americans able & willing to go to DC for our nation. They represent a minimum of 75 million voters ...and so many more, e.g., those unable to vote yet. The evil of this world is beyond our imagination. Let us praise God that He rescued His elect from this darkness, of which we were until His giving us new birth in Christ. As His children in Christ, what must we do? We must first speak truth in love, primarily the good news of Jesus. Next, we must indeed encourage one another as disciples of Christ to continued faithfulness and ceaseless prayer.Lastly, we must live in our culture as His salt and light which is a preservative of good and a deterrent to evil.Onward in God.",SAD,SAD
61,Heartbreaking.,SAD,SAD
62,"As the end of his presidency edges closer, President Trump appears to have lost all contact with reality. It's sad to witness. I never thought I would say this, but January 20th can't come soon enough.",SAD,SAD
63,"After the “performance” of traitors Pence, McConnell, and the entire GOP establishment today, spitting on the faces of WE THE PEOPLE, any so called “Republican” with an ounce of integrity must do the following:-Immediately re-register yourself as an independent/trumplican-Vow to never cast another vote or contribute another dime to these treasonous cowards-Unfollow the Parler accounts of the Hannity’s and the Bongino’s of this world because in all this chaos they have not UTTERED A WORD ABOUT THESE TRAITORSPresident Trump really has to make one of the biggest decisions of his life - start a MAGA Party - the only issue with that is the “establishment” will definitely rig the election, if he runsThis is a very sad day in American history. However, I am positive that the nation and President Trump will eventually emerge victorious - there must be a reason why God is allowing this to happen",HAPPY,SAD
64,They talk out of both sides of their mouths. They pushed so hard for riots this summer in order to further agenda.#GARBAGE,ANGRY,ANGRY
65,The sad part is that this is satire.,SAD,SAD
66,ALSO BREAKING: Wisconsin Legislature Announces Resolution To Be Introduced on Thursday Which Will Likely Decertify State and Award to President Trum,SURPRISE,SURPRISE
67,This is disgusting that a PASTOR could fall into the system like this!!,DISGUST,DISGUST
68,This is how they mock you and perpetuate your fear. #exitthematrix,FEAR,FEAR
69,"The are calling to delay because they are afraid of millions of people in DC today.If Pence delays, he is a traitor.",FEAR,FEAR
70,I hope you guys like the art🥲 #art #artist #love #photography #drawing #instagood #artwork #photooftheday #like #instagram #fashion #beautiful #follow,HAPPY,FEAR
71,love it,HAPPY,HAPPY
72,HERE WE GO AGAIN. THIS IS BILLSHIT,DISGUST,DISGUST
73,"What happened today is a FALSE FLAG meant to intimidate Congress, demonize MAGA and Trump, and stop election proceedings #holdtheline #falseflag #capitolhill #notmaga",FEAR,FEAR
74,FACT AND THEN IT TIME TO FIGHT THESE FREAKS OF HELL ❤️❤️🇺🇸🇺🇸TRUMP WON❤️❤️🇺🇸🇺🇸,FEAR,FEAR
75,Instead of allowing legislators to send their preferred electors he left it up to congress knowing full well they’d confirm Biden.,FEAR,FEAR
76,Literally no one can watch this video and conclude this woman is telling the truth.This is INSANE. She's even more fake than Hillary Clinton!,DISGUST,DISGUST
77,Yay!!!,HAPPY,HAPPY
78,That’s definitely antifa,ANGRY,ANGRY
79,Rest In Power Ashley Babbit! So damn sad 🖕🏼,SAD,SAD
80,"Thank you for the republic, Mr. Franklin, et al. I’m sorry we lost it.",SAD,SAD
81,"WATCH: Trump supporters berate Mitt Romney, brand him ‘traitor’ on packed flight to DC",ANGRY,SAD
82,This is great!,SURPRISE,HAPPY
83,Breaking news out of DC,SURPRISE,SURPRISE
84,Interesting....we'll see if it's TRUEor not....!,SURPRISE,SURPRISE
85,Don’t be intimidated!!,FEAR,FEAR
86,What an utterly disgusting lying piece of S- - - -!!!! He deserves prison time along with his whole disgusting family 🤬🤬🤬🤬🤬🤬🤮🤮🤮🤮🤮🤢🤢🤢🤢🤢🤢,DISGUST,DISGUST
87,scum,DISGUST,DISGUST
88,Thoughts and prayers are with the people who are in DC,SAD,SAD
89,"🚨🚨ECHO IF YOU LIKE🚨🚨 SORRY PARLER HAVING POSTING ISSUES THIS WAS THE SECOND PICTURE TO THE POST BELOW... OH AND FACIAL RECOGNITION KNOWS IT WAS ANTIFA THANK YOU <a href=""/profile/RepMattGaetz/posts"" class=""at"">@RepMattGaetz</a> #TRUTH #FACTS #WETHEPEOPLE #WERETHENEWESTABLISHMENT #STOPTHESTEAL #TRANSPARENCY2021 #DRAINTHESWAMP #DECLASSIFYNOW #DECLASSIFYEVERYTHINGNOW2021 #DUMPCONGRESS #KEEPTRUMP2021 #TRUMPDYNASTY #MAGA #KAG #KMAG #KEEPMAKINGAMERICAGREAT",SAD,SAD
90,BREAKING: David Perdue just took the lead over Jon Ossoff.,SURPRISE,SURPRISE
91,Wow!,SURPRISE,SURPRISE
92,"“For jealousy makes a man furious, and he will not spare when he takes revenge.”‭‭#Proverbs‬ ‭6:34‬‬‬ ‭#Bible#DailyProverb #DailyBibleVerse",ANGRY,ANGRY
93,"#Italydidit. Unfreakin' believable! You MUST watch!God is ensuring that the truth is revealed. The house flipped red, we won the Senate and President Trump won in a landslide with margins never seen before or will ever be seen again. This is exactly what the Lord revealed to me!!!",SURPRISE,SURPRISE
94,"Why would anyone, even a Democrat, want a wife beater / child abuser to be part of their countries government. It’s disgusting. All of those women who have been beaten or hit before. Or those parents who have suffered with their children after they were abused, degraded or even became suicidal (successfully or not) should be fighting to make sure this doesn’t happen. If it does, May I suggest you watch your kids very carefully. You just never know.....",DISGUST,DISGUST
95,This woman is antifa notice she's taking photos of Republican paperwork,ANGRY,ANGRY
96,"Tragic loss! Thank you for your service to our Country, thank you for caring about the freedoms of others and thank you for your patriotic sacrifice. May you rest in peace. God Bless you and your loved ones!",SAD,SAD
97,Yeah. That’s Antifa.,ANGRY,ANGRY
98,Appalling,DISGUST,DISGUST
99,LOVE HER!!!,HAPPY,HAPPY
100,Huge news!!! Smoking guns about Italy and Obama’s involvement in the election conspiracy.,SURPRISE,SURPRISE
101,Kick some ass and take no prisoner!,ANGRY,ANGRY
102,🇺🇸CORRUPTION PERSONIFIED!!!🇺🇸TRUMP2020 - WAS RE-ELECTED 🇺🇸,DISGUST,DISGUST
103,"Tuesday another painful reminder the people running the Republican Party want to serve the customers they prefer to have, as opposed to the customers they actually have. This party hates its base.",SAD,SURPRISE
104,Capitol lockdown!!!!!,FEAR,FEAR
105,MERICA......LOVE LOVE LOVE THIS!!!!!,HAPPY,HAPPY
106,Totally disgusting listening to these disgusting traitor GOP slime resending their objections with the Democrats jacking each other off. Because unity now…More revelation,DISGUST,DISGUST
107,‘Just F**ing Shoot Them All’: Verified Twitter Accounts Call for Retribution,ANGRY,DISGUST
108,SUBSTANTIAL Resistance to the Covid Vaccine is Coming from a Surprising Sector -- Frontline Healthcare Workers,SURPRISE,SURPRISE
109,This pile of trash is shredded ballots discovered in Georgia.,DISGUST,DISGUST
110,Unfortunately I do believe we have reached that point.,SAD,SAD
111,Aye! Antifa🐗,ANGRY,DISGUST
112,"I truly have tears in my eyes. This is not the America I know, love and dream of visiting. But if this is what it takes to bring back the American Dream, then MAGA!!!! 🥺🥺😭😭😭😭",SAD,SAD
113,"Sadly - yep. What do we do now? We being tethered to doing the right thing, how can we compete with this...",SAD,SAD
114,Incredibly sad. A 14 year #veteran was shot by law enforcement at the #Capital today. #DC,SAD,SAD
115,"BREAKING NEWS: Republican turnout in Georgia was HUGE today, far surprising the Republican voter turnout on November 3rd. Senator David Perdue has already pulled ahead of Ossoff 50.3-49.7 with the vote results in the Republican stronghold counties still not reporting. Senator Loeffler has pulled even with Warnock with 68% of the vote in.",SURPRISE,SURPRISE
116,You’re a disgrace,HAPPY,DISGUST
117,He looks like a same guy to me!,SURPRISE,DISGUST
118,"a href=""/profile/SidneyPowell/posts"" class=""at"">@SidneyPowell</a> So what do we do now, Sidney? Do we just give up because every election from here on in will be rigged? Will we even have elections when our constitution is destroyed?Do WTP just move along and obey? I’m scared to death of what happens next. What happens next?",FEAR,FEAR
119,"You guys ever see the show ""Blacklist"" Wow.. Crazy moments",SURPRISE,SURPRISE
120,Poor thing. 🥺,SAD,SAD
121,"Boy, did Lindsey Graham call it! Wow!",SURPRISE,SURPRISE
122,So sad. All he had to do was send the votes backto thestates so they could audit.,SAD,SAD
123,Chuck Schumer is a slimeball.,DISGUST,DISGUST
124,Love this!,HAPPY,HAPPY
125,This is war!! They declared war! We can’t not fight back!!,ANGRY,ANGRY
126,Mike pence is cower niw,FEAR,FEAR
127,National Lockdown yet again.,FEAR,FEAR
128,"“Always a sad thing to see a pup neutered, but the Democratic Party, it seems, has to keep the moderate population down.” #Editorial #WashTimesOpEd",SAD,SAD
129,BREAKING: Rush Limbaugh expected to return Jan 6th,SURPRISE,SURPRISE
130,This is a great beer. Drink one and you’re feeling good,HAPPY,HAPPY
131,I love American and Americans,HAPPY,HAPPY
132,"“Therefore, stripping off falsehood, let everyone speak truth with his neighbor, because we are intimately related to each other as parts of a body. Be angry, but don’t sin — don’t let the sun go down before you have dealt with the cause of your anger; otherwise you leave room for the Adversary.”Ephesians 4:25-27",ANGRY,ANGRY
133,"Video 3: Unfortunately, here are another 5,000 votes being subtracted from Perdue live on ABC.",SAD,SAD
134,dirty bastards,DISGUST,DISGUST
135,Hooray. Let’s start the Patriot Party!,HAPPY,HAPPY
136,"And he said unto them, Why are ye so fearful? How is it that ye have no faith?Mark 4: 40",FEAR,FEAR
137,"It's time to get hard, playing softly will get you nowhere and the Dems know it, you have to play fire with fire or you will lose!!",ANGRY,ANGRY
138,"ANTIFA. NOW THERE IS NO ONE THERE TO SUPPORT THE PRESIDENT AND MAKES PATRIOTS LOOK BAD....THESE ARE BAD ACTORS, but BEING LECTURED BY SELF RIGHTEOUS BASTARDS and it's ANTIFA INFILTRATION",DISGUST,DISGUST
139,Breaking Huge: New Video Shows Dominion’s Eric Coomer Admitting HUGE Thing About Their Voting Machine Systems,SURPRISE,SURPRISE
140,Did you notice Pence had a mean snarl looking face today?,ANGRY,SAD
141,Wow! Just unbelievable!!,SURPRISE,SURPRISE
142,"I was worried about Dekalb County, my worries were founded in Loeffler's case.Do I trust the Georgia count?Hell no.",FEAR,FEAR
143,"Corrupt, makes me sick.",DISGUST,DISGUST
144,🔥🔥🔥,HAPPY,HAPPY
145,So sad! May her family find peace in our Savior Jesus and May God’s wrath destroy DC!!,SAD,SAD
146,GOP fears Electoral College challenge will ‘come back to haunt’ it I has already started!,FEAR,FEAR
147,BRING IT HARD AS HELL !! MAGA !!!,ANGRY,ANGRY
148,Let the PANIC begin,FEAR,FEAR
149,I LOVE THIS! 👏👏👏👏👏,HAPPY,HAPPY
150,Wow!!!,SURPRISE,SURPRISE
151,These are punk ass kids with back packs. Its antifa,ANGRY,ANGRY
152,Please patriots in DC stay safe. They’re saying there’s Antifa activity all around. Stay safe and get off the streets!! America needs our Patriots!!!,FEAR,FEAR
153,Pence sealed his fate! That’s too bad!!! This is the time people will have to choose what side they’re on!! We’re about to see what Americans are really all about! God be with us all!,SAD,SAD
154,Child molester.PERVERT.,DISGUST,DISGUST
155,Strange how DC Mayor Bowser was ok with this before...,SURPRISE,SURPRISE
156,That was such a brilliant speech by Trump today. The man's intellect always amazes me.,SURPRISE,SURPRISE
157,"Everyone must stop complying. I know it's scary to go against the grain as it is not in the nature of conservative people to buck the system , that is exactly what we all must do if this is going to end. Only WE can stop the madness!",FEAR,FEAR
158,"“The LORD is my strength and my shield; My heart trusted in Him, and I am helped; Therefore my heart greatly rejoices, And with my song I will praise Him.”Psalm 28:7 ❤️",HAPPY,HAPPY
159,This is fishy,DISGUST,DISGUST
160,Sad day.,SAD,SAD
161,WOW!!!,SURPRISE,SURPRISE
162,A sorry situation!!,SAD,SAD
163,"We all knew deep down, that Mike Pence did not possess the courage and audacity to exert, embrace and enforce the full throated power he possesses.  You need balls, and he is ball-less. He is a scared bureaucrat.",FEAR,FEAR
164,This tugs heart strings....,SAD,SAD
165,Wrong again douchbag,DISGUST,DISGUST
166,That's great,HAPPY,HAPPY
167,Not a big fan of sunflower seeds,DISGUST,DISGUST
168,STINKY PUSSY,DISGUST,DISGUST
169,SCOOP: Black Georgia Democrat State Rep. Vernon Jones Switches Parties,SURPRISE,SURPRISE
170,"This evidence shows high treason by Obama. No wonder he & Hilary Clinton predicted so confidently Trump would never enter The White House. If this is true it’s disgusting. If true, it should put Obama behind bars for life, along with his cronies. Joe Biden too. SO MUCH corruption coming out. 😎✊#stopthesteal#bidencrimefamily#exposeobamacorruption#presidenttrump4moreyears",DISGUST,DISGUST
171,I love this,HAPPY,HAPPY
172,Totally looks staged!,DISGUST,DISGUST
173,"Pence: “We will not be intimidated”McConnell: “We will not be intimidated by an unhinged crowd”Is this why you caved to BLM, passing laws to appease them like renaming our bases?Is this why your judges threw out cases because of fear of antifa? Seems their tactics work",FEAR,FEAR
174,"Heartbreaking... today we are watching the destruction of America and with it, the end of the Republican Party. If you ever needed an example or a guidepost on how power corrupts, these times are that very example. I am thankful for those who are fighting and standing strong. My faith lies in the absolute truth that we know the end of our story - God wins.",SAD,SAD
175,You are disgusting,DISGUST,DISGUST
176,Rumor is antifa and blm are in police uniforms,FEAR,FEAR
177,"Furious over #censorship, Finchem drafts legislation to fine #bigtech for every user in #Arizona",ANGRY,ANGRY
178,This is ridiculous,DISGUST,DISGUST
179,This is a REHEARSAL!!!!!!! This was PLANNED!!!!,DISGUST,DISGUST
180,"Today, I'm going to the cemetary with the civil war soldier buried by my home.I will pray, ask forgiveness & cry like a baby.",SAD,SAD
181,Happy to be #american #godblessamerica,HAPPY,HAPPY
182,Even though they were antifa coward,FEAR,FEAR
183,An angry veteran screams at police and calls them traitors as Trump supporters break through the second line of police who are keeping them from accessing Capitol grounds:,ANGRY,ANGRY
184,Manly peaceful,HAPPY,HAPPY
185,Brett Baier is sick,DISGUST,DISGUST
186,AKA Ambrosia,HAPPY,HAPPY
187,"I get it sometimes there has to be war to have peace! My heart is breaking, it's hard to breathe! Our Patriots that are putting their lives at risk RIGHT NOW! FOR US THE AMERICAN PEOPLE!!!! THIS US WHAT TO CALL GOD'S CHILDREN COMING TOGETHER against evil! Brother and Sisters in Washington we fellow Brothers and Sisters are praying for all of your safety! May God His send his angel's to protect you!!!Pray for our fellow Sister who has been shot in the Washington Capital. 🙏PRAY FOR HER! PRAY FOR HER FAMILY!!!!! IN GOD'S NAME PUT YOUR HAD ON THIS WOMAN JESUS!!!! TAKE HER PAIN, GIVE HER COMFORT! COMFORT HER FAMILY!!!! IN OUR ALL MIGHTY LORDS NAME , AMEN!!!!!! 🙏",SAD,SAD
188,Taking Names and kicking ass,ANGRY,ANGRY
189,"Now you have seen first hand the desired effect they are looking for through the mask hysteria! His first move was to tell this person to pull their mask up. This is a complete scam, and I'm tired of hearing about COVID! Boycott the News (any news) in your home for 2 weeks, and you'll will find yourself calm and in good health. Pull your mask up, wear your star, step into the shower! We have all heard this story before.... Only difference is that ""all"" of America were fighting against it before!",FEAR,FEAR
190,Total POS,DISGUST,DISGUST
191,This is war...,ANGRY,ANGRY
192,This is another LIE!!!!!!!,DISGUST,SAD
193,Term limits for these smelly old relics‼️‼️‼️🖕🏼🖕🏼🖕🏼,DISGUST,DISGUST
194,"I’m glad they got in! I’m glad they took a stand! I’m glad they made themselves heard and known! They didn’t go with weapons, they aren’t burning or looting the place, good for them!!!",HAPPY,HAPPY
195,"Did you listen to Glenn Beck yesterday ? He said the same thing in a different way. fall in line and don't make Glenn look bad. thats what the average *conservative"" pundit is worried about. us looking bad lol",FEAR,FEAR
196,"a href=""/profile/Giannocaldwell/posts"" class=""at"">@Giannocaldwell</a> this cost the country sir. The GOP has been dead for years. They are the new Democratic Party. The ""Democratic Party"" is now the Socialist Party. This needs to be the rise of the America First Party or Patriot Party led by Donald J Trump. Thats the new order. Most GOP Rinos have failed America. Its funny our taxes pay their bills but we are paying them to FUCK US its sad. STAND UP PATRIOTS!!",SAD,DISGUST
197,Really sad sue there ass,SAD,SAD
198,This wack is sick 😳,DISGUST,DISGUST
199,"Thank you, PRESIDENT TRUMP!!!! ❤️🤍💙🇺🇸🇺🇸🇺🇸",HAPPY,HAPPY
200,Great!!!,HAPPY,FEAR
201,Sombre and brutally honest interview with a young lad who was with the woman as she was shot dead inside the capitol building today.,SAD,SAD
202,"Unreal... Ashli Babbitt serves not 1, not 2, not even 3, but 4 TOURS in The Airforce for 14 years but loses her life at the hands of our Capitol Police...So So Sad. Ashli you will not be forgotten and may you rest in peace AMEN",SAD,SAD
203,They can do it at their own peril,FEAR,FEAR
204,Prayers for President Trump and our country.,SAD,SAD
205,McConnell Returns To The Sea | The Babylon BeeI hear distressing news that while swimming leisurely off the coast of an artificial island in the South China Sea turtleboy was caught in the net of local fishermen and sold in the #wuhan market. Sad,SAD,SAD
206,Ok folks. You are either a Socialist or your a member of the Resistance ( militia). . The resistance won’t play kiddy games like ANTIFA does. Groups like ANTIFA will be target one. They are the “ brown shirts “ of the leftist/ socialist/ Marxist movement so they will be taken out first. I hope people are ready for what’s ahead. The only thing that can stop it is the return of Jesus Christ ( the rapture). I’m praying that happens because I truly am afraid for our country and what comes next. Christians had better start praying hard because they will be target one of the new Socialist government. Your religious freedoms are going to be attacked in ways you never imagined.,SAD,FEAR
207,LYING GOD FEARING CHRISTIAN TRAITOR!,FEAR,FEAR
208,"And the sad part is, THEY KNEW!",SAD,SAD
209,He is so nauseating 🤮🤮🤮🤮🤮,DISGUST,DISGUST
210,"echo people, pray for this woman and her family.",SAD,SAD
211,I saw this morning's post. Brought back bad memories.,SAD,SAD
212,BAD THINGS HAPPEN TO BAD PEOPLE I HAVE FAITH IN OURLORD JESUS CHRIST,SAD,SAD
213,▶ DML LIVE Jan 5: The Two Big Nightmares if Republicans Lose Senate by The Dennis Michael Lynch Podcast,FEAR,FEAR
214,"FQLKS.....remember that ANYONE who serves in Congress, Senate, Military, Law Enforcement, and POTUS cabinet.......ALL SWORE & TOOK THE OATHE TO SERVE & PROTECT THE CONSTITUTION!!!! Both D's & R's!!!!!",FEAR,FEAR
215,Who's going to be held accountable ? This is tragic,SAD,SAD
216,Echo if this makes you angry..🤮🤮🤮🤢,ANGRY,ANGRY
217,New Georgia Senator? That was quick.,SURPRISE,SURPRISE
218,"PROUD BOYS FOREVER !!! STAY SAFE, GOD BLESS YOU",SURPRISE,HAPPY
219,Make them so afraid they will never show their faces. Or make them resign.,FEAR,FEAR
220,BIG SURPRISE.,SURPRISE,SURPRISE
221,Jerk,ANGRY,ANGRY
222,"Please Echo!Praise God for he is in control of all things.59 year old USMC veteran disabled rear ended by a F350 dually at 45mph. Two crushed vertebrae L4-L5, L5-S1. It took me four months to learn to walk again after the doctors said I wouldn't. Sometimes I can, sometimes I can't. My wife went through the windshield which opened her skull, broke her back, hip, pelvis, colar bone and leg. She died but was brought back on the med flight.I started over with a two year tattoo apprenticeship and started my own business. Then COVID-19 hit. We lost our business due to fear and shutdowns. Lost our home. Awaiting SSDI appeals the both of us.I struggle to simply keep a roof above our heads. I look for work all the time but no one wants to hire a 59 year old disabled veteran who can barely walk.I apologize if my asking for help is annoying you. I don't know what else to do. God knows our hearts as does those closest to us. I leave it in his hands.",FEAR,FEAR
223,Antifa at RALLY,ANGRY,ANGRY
224,"This was a complete set up. They knew they had to stage a blockbuster event worthy of their final coup! Despicable & absolutely unashamed, unappalled display of evil arrogance! Wake up people! Our once great, free country has been stolen while we were led to believe there was still checks in power in place for this type of evil lawlessness.",DISGUST,DISGUST
225,Listen to this! I love it.,HAPPY,HAPPY
226,Communists are everywhere,SAD,FEAR
227,"Pro-Trump Marine Goes Off on DC Police After They Mace Stop the Steal Protesters, ‘We Had Your Fucking Back, But We Ain’t Got Your Back No More!’",ANGRY,ANGRY
228,Yes we are ready !! We love Parler and will join,HAPPY,HAPPY
229,Predicable but sad because no one will get the whole story. Journalism is dead in the American mainstream.,SAD,SAD
230,It’s meant as threats and deterrents. War will soon start or democracy goes silently into that good nice. Maybe move the wood n burn. Open the tanks up or call WH,FEAR,FEAR
231,Thank You Lord🙏🏻🙏🏻🙏🏻🙏🏻,HAPPY,HAPPY
232,❤️❤️👍,HAPPY,FEAR
233,I like her....,HAPPY,HAPPY
234,This POS is the slimiest of them all!! He worked hard to try and slow down Trump's successes in his first two years; he's ruined FOX; I suspect he's a friend of Epstein's. Just an all around waste of a human being.,DISGUST,DISGUST
235,Nice rant.,ANGRY,ANGRY
236,Lives for sale found on Hunter’s laptop.‘Like father like son’ yet Biden sr. Is selling our asses. Or sold it already.My heart goes out to the children and teens or unwilling adults who have endure such depravities by human monsters. May they meet their brutal demise here on earth.,DISGUST,SAD
237,"America 🇺🇸 has spoken!! You wanted to fuck with us, Now we are FUCKING YOU BACK",ANGRY,ANGRY
238,"[Why I Am Joining The Jan. 6 DC March For Trump]❝ I am angry. It’s not a passing emotion brought on by a single circumstance. This anger is a deep, painful, abiding anger created by a mix of frustration, despair, hopelessness, and injustice. For decades I have been told to trust American institutions and if I have grievances to work harder to improve them. I have done so, far more than most Americans, and my reward has been watching corruption and ineptitude only … ❞",ANGRY,ANGRY
239,SO MUCH RAGE INSIDE ME NOW,ANGRY,ANGRY
240,Hang this filthy rat bastard traitor. And that happy ending ho he’s hitched to...,DISGUST,DISGUST
241,Thank you!🙏🙏🙏,HAPPY,HAPPY
242,Buckle up 2021,FEAR,FEAR
243,Time has come to get violent,ANGRY,ANGRY
