,text,subjectivity,polarity
43,"Check out this disgusting behavior by conservatives today. Oh wait, this is a picture of thousands of liberals who took over the Wisconsin Capitol in 2011 and were praised for doing so because they were protesting against Republican Governor Scott Walker.",NEUTRAL,
44,Awesome!!,OPINIONATED,POSITIVE
45,Excellent and well said!,OPINIONATED,POSITIVE
46,WATCH: Senator Loeffler backs down from supporting President Trump's objections,NEUTRAL,
47,Antifa not Trumpers,NEUTRAL,
48,Earlier footage shows how the American police were seriously routed around the Capital.They were literally run over.,OPINIONATED,NEGATIVE
49,BIDENNATIONAL EMBARRASSMENT,OPINIONATED,NEGATIVE
50,Echo. Echo. Echo.,NEUTRAL,
51,Awesome!! Edits!!!,OPINIONATED,POSITIVE
52,"If you are able, you need to be watching this RIGHT NOW. TRUMP will be addressing America LIVE from the Save America Rally.#RSBN #Trump2020 #Jan6",NEUTRAL,
53,Flynn's interview with Alex Jones. Interesting dynamic between the two. Well worth a watch,OPINIONATED,POSITIVE
54,Very Interesting. The Capitol Police are dirty.,NEUTRAL,
55,I will never vote Republican again......what an utter disgrace!,OPINIONATED,NEGATIVE
56,🇺🇸 PATRIOTS POST 🇺🇸STANDING OVATION FOR TED CRUZ & PAUL GOSAR OBJECTING(posted moments ago by DemsCheat)Switch to hearing Patriots,NEUTRAL,
57,"Expert Edward Solomon's Analysis of 2020 Election Shows Thousands of Ballots Switched from Trump In States He Won (MI, GA, PA) to Biden - Enough to Steal the ElectionWe know this",NEUTRAL,
58,American CEOs will focus on corporate tax rates under Biden administration: Former Home Depot CEO ||Mornings with Maria 6-9 AM et M-F on Fox Business,NEUTRAL,
59,"No wonder Washington and Hollywood seem so intertwined, just a bunch of actors.",NEUTRAL,
60,Looks like they we’re stupid! 😳,OPINIONATED,NEGATIVE
61,"Love your patriotism! Love my President, and Country!!!",OPINIONATED,POSITIVE
62,"Very smart, good man. Thank you Rush and may God bless you and your family. You are an amazing person.",OPINIONATED,POSITIVE
63,Amazing!,OPINIONATED,POSITIVE
64,You can have your equipment back CNN..Losers,OPINIONATED,NEGATIVE
65,RIGGED HUGE. they’re doing it again in GA if I lived in GA they would be feeling my wrath right now. This is completely and totally unacceptable,OPINIONATED,NEGATIVE
66,No they did not!,NEUTRAL,
67,Despicable and gross display of Power.... he needs to be arrested immediately!!!,OPINIONATED,NEGATIVE
68,Computers were left open .. do what yall do ~ #deathofamerica #PansyPence #Trumplican #parlerusa #,OPINIONATED,NEGATIVE
69,I saw this two hours ago!,NEUTRAL,
70,"Ohhh nice job Lemon , your job will be gone so we won’t have to listen to your bullshit any more. Hope your guilty and take Tapper with you. And a few others. Trump 2021",NEUTRAL,
71,Always hopeful.,OPINIONATED,POSITIVE
72,"Our finest citizens, right there",OPINIONATED,POSITIVE
73,Love George Carlin!,OPINIONATED,POSITIVE
74,"Once again, just because someone is a MASON does NOT mean they are a bad person. Same with the Catholic church. But at the top are some VERY EVIL PEOPLE. Don't be associated with them!",NEUTRAL,
75,Current Video: Capitol door momentarily breeched before reinforced from the inside. Tens of thousands of Patriots pushing toward the building.,NEUTRAL,
76,Good times,OPINIONATED,POSITIVE
77,The best video you can watch,OPINIONATED,POSITIVE
78,Rasmussen Poll: #GOP voters 'strongly support' senators challenging electoral college results,NEUTRAL,
79,#KabukiShow That's all Pence was... #TraitorTrump rips Pence: 'Didn’t have the courage to do what should have been done',OPINIONATED,NEGATIVE
80,Rhinos are the worst form of Traitors,OPINIONATED,NEGATIVE
81,Exactly my thought. And what Patriot would eat a sandwich in Pence’s chair while layered up quite like that⁉️ Pelosi probably had catered sandwiches for the professional agitators in her office‼️,NEUTRAL,
82,This is insane. Please everyone pray without ceasing!!!,NEUTRAL,
83,This is becoming a disaster. Trump better pull out his last hoo-rah quickly,OPINIONATED,NEGATIVE
84,Fantastic!🇺🇸,OPINIONATED,POSITIVE
85,Just met him! He is fabulous!🇺🇸,OPINIONATED,POSITIVE
86,Oh 😮,NEUTRAL,
87,Our vote will never make a difference again. Why bother?? Politivians do not want to fix this shit.,OPINIONATED,NEGATIVE
88,Amazing!!! 👊🏻🇺🇸🇬🇧,OPINIONATED,POSITIVE
89,#8 MOST VIEWED ON CGN EXCLUSIVE: Eyewitness Says “Man in Suit” Killed Capitol Hill Shooting Victim,NEUTRAL,
90,No need to escalate the situation that will likely diffuse it self once demands of upholding our constitution are heard,NEUTRAL,
91,Comment if you’re in DC for Trump right now!⭐️👇⭐️👇⭐️👇⭐️,NEUTRAL,
92,It's time for the people to be heard. Now is the time.,NEUTRAL,
93,"Florida Gov. Ron DeSantis:""I can tell you as this pandemic has worn on, the number of times someone has come up to me with tears in their eyes saying, 'if it wasn’t for you my kid would not be in school and I would not have my job, thank you.' That is why I’m in this job.""",NEUTRAL,
94,Very good information,OPINIONATED,POSITIVE
95,"Julian Assange's best hope for freedom now, is solely in the hands of President Trump, who has the power to pardon him at any time.",NEUTRAL,
96,"What media, the shit storm on tv, waste of time.",OPINIONATED,NEGATIVE
97,"Instruction act now and martial law now, protect your, supporters out there, you ask them to be there, marshal law, protect out Constitution NOW TONIGHT, DO IT SIR.",NEUTRAL,
98,We are tired.,OPINIONATED,NEGATIVE
99,"I’m glad I wrote in Trump for both Senate seats. If they won’t stand up for Trump then I won’t fight for fake RINOs. Maybe next time we can get a REAL conservative like my awesome new Rep <a href=""/profile/RealMarjorieGreene/posts"" class=""at"">@RealMarjorieGreene</a> #georgiarunoff #georgia #stopthesteal",NEUTRAL,
100,Free men don’t ask permission.,NEUTRAL,
101,Today was a complete disappointment in every possible way. Where is the information we were promised on the fraud? We are the indictments? Where is anything? We are being played.,OPINIONATED,NEGATIVE
102,Love this chyron!,OPINIONATED,POSITIVE
103,Nonsense. Man u,OPINIONATED,NEGATIVE
104,So a politician lied? I'm just shocked beyond belief...,NEUTRAL,
105,🇺🇸👍👏👏🇺🇸You people are awesome!Great job!!!🇺🇸👍👏👏👏👏🇺🇸,OPINIONATED,POSITIVE
106,breaking election interference 2020,NEUTRAL,
107,"12/ AUDIO: The theft of the election was orchestrated by Stephan Serafini, a 20-year foreign service officer. Stephan coordinated with General Claudio Graziano, a board member of Leonardo. Italian intelligence provided us with documents, calls, & photos of CIA agents involved.",NEUTRAL,
108,"Godspeed CM, shatter the scales.",NEUTRAL,
109,APOIADORES DE TRUMP CONSEGUIRAM INVADIR O CONGRESSO.,NEUTRAL,
110,What the sate gonna do about it!’,NEUTRAL,
111,Delicious,OPINIONATED,POSITIVE
112,I guess succession is our next step .,NEUTRAL,
113,We love you,OPINIONATED,POSITIVE
114,99% in... and it's not looking good... I think I'm gonna be sick 🤢 reliably red no more#georgia ... #wtf,OPINIONATED,NEGATIVE
115,Very interesting....,OPINIONATED,POSITIVE
116,I love this patriot representative! You rock sir!,OPINIONATED,POSITIVE
117,80 MILLION TRUMP WARRIORS FIGHTING FOR TRUTH PRAYERS OFFERED.,NEUTRAL,
118,There should not be a safe place for this traitor,OPINIONATED,NEGATIVE
119,Love it.,OPINIONATED,POSITIVE
120,I’m with you Mr President I’ll never give up hope . You are the BEST PRESIDENT AMERICA HAS EVER HAD!!!,OPINIONATED,POSITIVE
121,Disgraceful! What do you think of the montage?,OPINIONATED,NEGATIVE
122,This is why kemp and raffensberg would not allow the audit of the machines they cheated once again but I’m pretty sure they were caught!,NEUTRAL,
123,"With the greatest respect for you <a href=""/profile/MarshaBlackburn/posts"" class=""at"">@MarshaBlackburn</a> ,and I mean that sincerely, how much of these incompetent lying criminal scumbag politicians can we the American people take. It was clear how this “process “ was going to turn out in the opening statement. I don’t condone violence but enough of these lies please. We cannot and will not take it anymore!!",NEUTRAL,
124,Great speech.,OPINIONATED,POSITIVE
125,"a href=""/profile/BlueSkyReport/posts"" class=""at"">@BlueSkyReport</a> | The President must order insurgents to disperse before enacting the Insurrection Act. We are witnessing the greatest crime ever committed in our Country. When Election is certified the crime will be complete.",NEUTRAL,
126,Et pourtant elle aime pas les délateurs la grognasse.#parlerfrance,NEUTRAL,
127,"The world we leave our children and grandchildren and all future generations yet unborn, will be decided one way or another beginning today. Either we universally awaken and all move toward the light or we will slowly begin sinking into a darkness that will envelop this world for generations.I for one, choose to fight! 🇺🇸🇺🇸🇺🇸#StopTheSteal",NEUTRAL,
128,Up to 2 MM showed up in DC to show love for Trump. Real debate about voter fraud on floor of Congress. All ruined in an hour. Suddenly every media blames  @Name Hidden  & all Trump voters. Out of blue nothing else matters. Election over. No more discussion allowed. Coincidence?,OPINIONATED,NEGATIVE
129,INSANITY.,OPINIONATED,NEGATIVE
130,"BILLS FANS TO CUOMO, STAY HOME: #NYGovCuomo recently signed off on a deal allowing thousands of #BuffaloBills fans to attend the team’s upcoming playoff game. But now, a lot of those same fans are signing a petition to keep the governor out!",NEUTRAL,
131,This is AMERICA!!!WATCH: Romney Boards Flight to DC FILLED With Patriots Who Chanted 'Traitor' and Grilled Him About Ties to Biden,NEUTRAL,
132,She is so right ✊,OPINIONATED,POSITIVE
133,good read. happy to hear perspectives on this:,OPINIONATED,POSITIVE
134,What a pathetic mess,OPINIONATED,NEGATIVE
135,"Echo people, beautiful and wonderful!",OPINIONATED,POSITIVE
136,Nice.,OPINIONATED,POSITIVE
137,"Pence/Trump REVEALED the Plan!  Roving Reporter Doug <a href=""/profile/TenNapel/posts"" class=""at"">@TenNapel</a> reads Pence’s thoughts, “Why should I get my head chopped off when I can just lose a finger?”#DougShow#Election2020#news#Paperboys",NEUTRAL,
138,Do you really want to steal this election.,NEUTRAL,
139,George H W Bush was the most prolific drug dealer in the history of the world. He was called the Black Rose. We called him “Poppy” for short because he was still connected to the Poppy Fields in Afghanistan when I served. #JohnnyBravo,NEUTRAL,
140,🚨🚨🚨 ECHO ECHO ECHOM,NEUTRAL,
141,It’s true though,OPINIONATED,POSITIVE
142,Amen 🙏,NEUTRAL,
143,This guy is AMAZING,OPINIONATED,POSITIVE
144,"Precisamos livrar o Brasil da senzala ideológica. A esquerda escraviza os pretos para serem mão-de-obra para sua revolução cultural. Obrigado, Sérgio Camargo, por não se curvar ao politicamente correto e ajudar a quebrar essas correntes que escravizam pessoas pela cor da pele. Somos todos brasileiros!",NEUTRAL,
145,Biden will further wreck government schools,OPINIONATED,NEGATIVE
146,Love this! 😂😂,OPINIONATED,POSITIVE
147,Lin Wood was totally right. Pence is a Corrupt Traitor he just rolled over on the President!,NEUTRAL,
148,Meanwhile in cucu land...,NEUTRAL,
149,Website shut down..:,OPINIONATED,NEGATIVE
150,Glorious!,OPINIONATED,POSITIVE
151,"Well excuse me... Can I have some more butter on my bread.That was pretty smooth and easy. Almost seems like an invitation? ""COME in"" said the big bad wolf come in....",NEUTRAL,
152,Came across this somewhere.,NEUTRAL,
153,"From , ‘The Great One.’ <a href=""/profile/Marklevinshow/posts"" class=""at"">@Marklevinshow</a> Mark Levin.",NEUTRAL,
154,Poor thing. 🥺,OPINIONATED,NEGATIVE
155,Live on the ground in DC. The Fuck Antifa flag is up high. I am the only one here on Parler to update you live so follow me to see all these videos. Smash the echo. The atmosphere in DC is insane.,NEUTRAL,
156,GOP senators under fire for rejecting election fraud - #OANN,NEUTRAL,
157,Very interesting.,OPINIONATED,POSITIVE
158,Idiots,OPINIONATED,NEGATIVE
159,Scum,OPINIONATED,NEGATIVE
160,It's very deep and very real!,OPINIONATED,POSITIVE
161,So true!!,OPINIONATED,POSITIVE
162,Really did listen to CNn or the Full call🤬,NEUTRAL,
163,"Hey Romney, run for shelter Incoming information soon You will look like a stammering idiot",OPINIONATED,NEGATIVE
164,When? When? When? Sick of it,OPINIONATED,NEGATIVE
165,"WAPO is a worthless rag of a newspaper, in bed with China and spineless to the core!! Stop reading anything they print!!!",OPINIONATED,NEGATIVE
166,If I ever needed a hot tub it’s now! TENSE,NEUTRAL,
167,"This OBAMA PERVERT is as bad as <a href=""/profile/JoeBidenVP/posts"" class=""at"">@JoeBidenVP</a> !What DISGUSTING people!",OPINIONATED,NEGATIVE
168,"It is very clear that the words and actions of certain “prominent” Republicans have shown us the light. There is one political party, The Swamp. It all needs gone and gone, today.",NEUTRAL,
169,RELEASE and DECLASSiFY! Echo if you agree!#truthmatters #wwg1wgaww,NEUTRAL,
170,Very true !,OPINIONATED,POSITIVE
171,"Corruption 2.0Has the ""smart thermostat"" stop working? Wireless signal blocked?",OPINIONATED,NEGATIVE
172,It will be amazing!,OPINIONATED,POSITIVE
173,Beautiful!!!,OPINIONATED,POSITIVE
174,🤔🤫Echo...,NEUTRAL,
175,Seems like this guy needs to be found and Wadded u,OPINIONATED,NEGATIVE
176,Insurrection act needed,NEUTRAL,
177,Live all day video of todaySkip to 1:59:00,NEUTRAL,
178,I almost cried. This is beautiful and amazing.,OPINIONATED,POSITIVE
179,"We all know it’s Antifa and BLM who got their marching orders from the DNC, Soros etc",NEUTRAL,
180,PARDON ASSANGE AND SNOWDEN AND DECLASSIFY ALL CLASSIFIED INFO! OFFER MAXWELL COMPLETE IMMUNITY FROM PROSECUTION FOR HER COOPERATION AND IMPEACH ROBERTS NOW!,NEUTRAL,
181,ECHOECHOECHO,NEUTRAL,
182,Say NO TO JOE,NEUTRAL,
183,"Pay attention to what is happening in Venezuela America, we are next if Biden takes office and the left gains control of both houses.",NEUTRAL,
184,"This is overdue. We need to start being more like our forefathers! Otherwise, what we are witnessing in America now will continue to get worse!",OPINIONATED,NEGATIVE
185,"We have all watched the liberals this past year with their protesting, rioting, destroying, killing, burning, throwing bombs, etc. what the f*ck did you expect",NEUTRAL,
186,'*' MUST SEE: '*'EXCLUSIVE: Potential Iranian Assassin Plot Triggered Trump’s Departure Of Mar-A-Lago,NEUTRAL,
187,He can paint his face to disguise his identity. Not smart enough to realize tats are tattle tails.,OPINIONATED,NEGATIVE
188,Yes we are ready !! We love Parler and will join,OPINIONATED,POSITIVE
189,@foxnews1. They are ANTIFA thugs...but if not. These should be treated just as well as the other protesters. I don't want to see trump supporters thrown in gaol for years when and typify was barely even arrested And then set free,NEUTRAL,
190,That isn’t good enough we need to fight & not give u,OPINIONATED,NEGATIVE
191,"President Donald Trump awarded the Presidential Medal of Freedom to Rep. Devin Nunes (R-Calif.) during a White House ceremony on Jan. 4. The White House said in a statement that Nunes “began to unearth the crime of the century” when, as chairman of the House Intelligence Committee in 2017, he began probing possible misconduct by President Barack Obama’s administration during the 2016 election.Read this article:",NEUTRAL,
192,Swedish chief quits after ignoring his own agency's COVID holiday advice | Euronews,OPINIONATED,NEGATIVE
193,Good time magazine cover.,OPINIONATED,POSITIVE
194,This is fantastic.,OPINIONATED,POSITIVE
195,This is beautiful this is our America,OPINIONATED,POSITIVE
196,Everyone get your ass to the Cogress now. They are certifying the votes now. We need pressure there. Its up to us. Echo big,NEUTRAL,
197,I don't want $600.I don't want $2000.I want businesses open.I want people working. I want life back. I want us to fight for our rights. Take back America#America2021 #TakeBackAmerica #FightBack,NEUTRAL,
198,#The Worst,OPINIONATED,NEGATIVE
199,I definitely believe it,OPINIONATED,POSITIVE
200,"It is their fault, and this will only get worse.",OPINIONATED,NEGATIVE
201,Dems will never answer a thing!,OPINIONATED,NEGATIVE
202,Tell him to start his September 2019 executive order,NEUTRAL,
203,"They Are Now Censoring <a href=""/profile/JennaEllisEsq/posts"" class=""at"">@JennaEllisEsq</a> But I Am Sure She Knows That. What They're Doing Is Getting Ready To Shut Down #TRUMP ##POTUS Accounts, And Any Other High Profile Accounts Backing Trump. Democrats & Republicans Are Seriously Considering The 25th Amendment To Use Against #POTUS Waiting On Pence Most Likely To Give The Ok.",NEUTRAL,
204,"80% of the politicians in Washington DC tonight, have declared that the sky is purple, AOC is really a sweet milkmaid and Joe Biden is the wholesomest president we will ever have.In summary, the capital was stormed, Adam Schiff wrote a new script and the entire nation was taken hostage. 🤯 Probably for 12 years by a camel-toe, evil-ho. 😖",NEUTRAL,
205,I LOVE THIS! 👏👏👏👏👏,OPINIONATED,POSITIVE
206,"As I suspected. In regards to the Capital Hill occupation, this type of display never works. And this was not in anyone’s best interest. Any future protests should be done at the state level. There in lies the significant voter fraud and corruption. This is where change needs to be addressed for future elections. This is not the Soviet Union, it is the United States. States run the election show.",OPINIONATED,NEGATIVE
207,"Live from the President's mouth: ""It's BULL****!""👏👏👏",NEUTRAL,
208,He’s a rock star. Incredible,OPINIONATED,POSITIVE
209,Beautiful!!,OPINIONATED,POSITIVE
210,GRAPHIC.Shooting victim female in the Capitol building.DCGod please save us.#1776#saveamerica,NEUTRAL,
211,Democrats are well-practiced plagiarists. Just ask Biden.Kamala concocted a lie about celebrating Kwanzaa and now has stolen one of MLK’s stories and made it her own.  The Biden-Harris ticket was sponsored by Match(.)com,NEUTRAL,
212,"Need to make Democrats businesses suffer. The small mom and pop shops owned and operated by democrats. Boycott, write bad reviews on line etc. Bankrupt their business.",OPINIONATED,NEGATIVE
213,Praying for my Country #GodblessAmerica #LandOfTheFree,NEUTRAL,
214,"""In an honest election the vote totals NEVER go backwards.""THEY'RE CHEATING AGAIN!!Time Stamp .01 Perdue - 2,130,535Time Stamp .09 Perdue - 2,125,535They just SUBTRACTED 5000 VOTES FROM PERDUE!""In an honest election the vote totals NEVER go backwards."" ""In an honest election the vote totals NEVER go backwards."" ""In an honest election the vote totals NEVER go backwards.""Georgia is dirty. It was dirty in the Nov 2020 election and it's dirty now. They should have never been allowed to have this Senate runoff after what they did in Nov 2020!@elisestefanik@tedcruz<a href=""/profile/blocked/posts"" class=""at"">@blocked</a>@devinnunes@jimjordan@realdancrenshaw@repmattgaetz@stevekingia@kayleighmcenany<a href=""/profile/rogerlsimon/posts"" class=""at"">@rogerlsimon</a>@dineshdsouza@robbystarbuck@rudyg@teamtrump@sidneypowell#StoptheSteal#BidenIsCorrupt#TrumpWon2020",NEUTRAL,
215,It was Antifa dressed in Trump gear! Wake up Americans!,NEUTRAL,
216,Thank you for your support! THE TRUTH WILL PREVAIL,OPINIONATED,POSITIVE
217,I BELIEVE THESE ARE ANTIFA GOONS DRESSED UP TO MAKE OUR PRESIDENT LOOK BAD.,OPINIONATED,NEGATIVE
218,Trump asked us to stand down but we are not here mainly for Trump we are here to save america!!!,NEUTRAL,
219,"Unfortunately, the TRUTH no longer matters!",OPINIONATED,NEGATIVE
220,Peaceful options were still available. Violence was not justified. This is bad. Very very bad.,OPINIONATED,NEGATIVE
221,"Apple, just as bad as Gaggle, Twatter, and FakeSpookAssholes",OPINIONATED,NEGATIVE
222,.beautiful.,OPINIONATED,POSITIVE
223,Best happy ending ever..!!,OPINIONATED,POSITIVE
224,Listen to this! I love it.,OPINIONATED,POSITIVE
225,I wanna see those docket entries! 📢📢,NEUTRAL,
226,"No dignity, no moral and no soul. This b-word is an absolute disgrace.",OPINIONATED,NEGATIVE
227,Good eye!!!,OPINIONATED,POSITIVE
228,True story.,OPINIONATED,POSITIVE
229,Link Doesn't work,OPINIONATED,NEGATIVE
230,Echo until she is removed!!,NEUTRAL,
231,Just beautiful,OPINIONATED,POSITIVE
232,Interesting how quickly the crime scene is no longer a crime scene. Sanitized for China virus in the entire people’s house. Why don’t we know about the officer that shot and KILLED an unarmed woman. Why are we not outraged and threatening to defund police????? More questions than answers. This stinks badly,OPINIONATED,NEGATIVE
233,Dilley is staying live with Patriots on the ground. Miguelafornia reporting live. It’s looking revolutionary. One unarmed female killed.,NEUTRAL,
234,"they deleted my IG account again. NOT SURPRISED. i was posting the truth today, so 🤷🏼‍♀️find me on my back up account  @Name Hidden .lex.lively 💯🤍🇺🇸i will continue fighting and sharing on IG. i know not all of y’all agree but that’s my decision for now. thanks for all of the love & support.",NEUTRAL,
235,"🚨LISTEN: <a href=""/profile/Charlie/posts"" class=""at"">@Charlie</a> and I discuss the constitutional option for Vice President Pence.",NEUTRAL,
236,By the WH waiting for President Trump to come speak to We The People,NEUTRAL,
237,That will be a glorious moment,OPINIONATED,POSITIVE
238,Stop counting for the night = MASSIVE Democrat vote dump!,OPINIONATED,NEGATIVE
239,Corruption covered up for generations does not heal itself.,OPINIONATED,NEGATIVE
240,"Rob Schmidt on the gutless Lindsey Graham...”Here’s a speech I want to hear”. <a href=""/profile/realLindseyGrahamSC/posts"" class=""at"">@realLindseyGrahamSC</a> is a fake, a globalist progressive establishment POS who NEVER supported us. None of these idiots ever intended to fight for our right to a free and fair election, and your coverage certainly missed this point. <a href=""/profile/newsmaxtv/posts"" class=""at"">@newsmaxtv</a> <a href=""/profile/Newsmaxofficial/posts"" class=""at"">@Newsmaxofficial</a> is as disappointing as #FoxNews . Disgusting coverage. Clear it up any ? #1776",OPINIONATED,NEGATIVE
241,I absolutely agree!!!,OPINIONATED,POSITIVE
242,Why did they even do it! Republican sissies lead by Pence have no courage!,OPINIONATED,NEGATIVE
243,Legal analysis published in October finds today’s scenario favors Trump victory | Sharyl Attkisson,NEUTRAL,
244,Schwack ‘em.,NEUTRAL,
245,I pray this happens,NEUTRAL,
246,AND SO IT BEGINS,NEUTRAL,
247,He will and has won!,OPINIONATED,POSITIVE
248,I love this! He looks good in that chair! 😁😁😘,OPINIONATED,POSITIVE
249,What scum,OPINIONATED,NEGATIVE
250,Perfect I’m so proud of you guys!!! Give them HELL🔥🤬!!!!,OPINIONATED,POSITIVE
251,Restaurant Chain Brags About Lower Percentage of White Workers - It Backfires Badly,OPINIONATED,NEGATIVE
252,Kelly Loeffler would have never voted any differently than Warnock. She deserved to lose and I’m glad she lost. No loss!,NEUTRAL,
253,They are VERY FAKE NEWS and a total DISGRACE TO OUR COUNTRY!,OPINIONATED,NEGATIVE
254,"Cruz, Hawley, Hyde-Smith, Kennedy, Marshall, Tuberville.... PATRIOTS🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲",NEUTRAL,
255,Interesting.,OPINIONATED,POSITIVE
256,Democrats Busted Cheating in Georgia AGAIN!! INDISPUTABLE PROOF!!! 🤬,NEUTRAL,
257,"In the end times,good with be called evil,evil will be called good: BIBLE",NEUTRAL,
258,What in the ever loving censorship is going onIn parler ? I think we're going to break it! Activity wise i mean! 😜I'm super pissed off right now!But i still love parler patriots and America so!🇺🇸❤,NEUTRAL,
259,The Central Bank Controlled by the Rothschild's setting up this Plandemic to pave the way for Digital Currency World Wide... All your purchased will be tracked and monitor.,NEUTRAL,
260,Trump supporters breaching capital building barriers,NEUTRAL,
261,Totally vile and disgusting isn’t strong enough...FRAUDS AND CORRUPT ANIMALS IS THE ONLY WAY I THINK!!!,OPINIONATED,NEGATIVE
262,My friend Tommy here worded this perfectly!!,OPINIONATED,POSITIVE
263,Pence is part of the cou,NEUTRAL,
264,Make her famous!,OPINIONATED,POSITIVE
265,LOVE THIS!,OPINIONATED,POSITIVE
266,Not sure if its antifa or Trump supporter. At this point wtf does it matter. This Nation has fallen...its not a joke!,OPINIONATED,NEGATIVE
267,Is it time to get our hands dirty? I've been saying all along that all the hashtags and complaining on the internet was going to be ineffective.,OPINIONATED,NEGATIVE
268,"""I'm Ready to Come Home"" - Rep. Vernon Jones Leaves Democrat Party | Dan Bongino",NEUTRAL,
269,MSM and other useful idiots will never admit it was Antifa. It was entirely staged to make Trump look bad.,OPINIONATED,NEGATIVE
270,Proof it’s Antifa not patriots!,NEUTRAL,
271,Of course it does! The Globalists’ plan is coming together perfectly.,OPINIONATED,POSITIVE
272,Welcome back POTUS! You are LOVED by us peeps!,OPINIONATED,POSITIVE
273,Trump ao vivo,NEUTRAL,
274,That picture may actually happen! Jesus is coming soon❤️,NEUTRAL,
275,A disgrace,OPINIONATED,NEGATIVE
276,This is our fault ... She should be awaiting her EXECUTION..!,OPINIONATED,NEGATIVE
277,"Parler, can you not fuck up for one second?",NEUTRAL,
278,finally good news,OPINIONATED,POSITIVE
279,"This video is not yet getting the echoes it deserves. Nurses all around our beautiful country are against the lockdowns and vaccines chanting masks make us sclaves and vaccines kill us, even in the face of corrupt police. Give a big echo and do justice",NEUTRAL,
280,"This is ""an insidious, coordinated, and stealth campaign to manipulate this year's elections."" Phill Kline",NEUTRAL,
281,Let’s bring this back and spread it like WILDFIRE 🔥🔥🔥🔥🔥🔥#killary #georgesoros,NEUTRAL,
