text,s_palak_label,s_ben_label
Good point....,OPINIONATED,OPINIONATED
Dan Bongino is right! Listening to these Democrats and Republicans decry for the Constitution is hilarious! They through the Constitutionout in all these states in the November election. You made the new rules. Now we are going to live by your new rules.,OPINIONATED,OPINIONATED
"What the actual F#@k is going on here!?!For God's sake, where are the watchers? Who is monitoring this disaster?!",OPINIONATED,OPINIONATED
Even though they were antifa coward,NEUTRAL,NEUTRAL
"""What I witnessed at that TCF Center was complete fraud the whole 27 hours I was there. There was batches of ballots being ran through the tabulating machines numerous times. Being counted 8 to 10 times. I watched this with my own eyes, I was there to assist with IT... I had four people on night shift... one of them I've known for over 20 years, he approached me and said he absolutely zero training whatsoever. I watched numerous people claiming they were both Democrats sitting together and counting ballots all day together. I was under the impression that at least 90% of those workers were in on this...""#News #FakeNews #MSM #Media #SocialMedia #Politics #ArmyForTrump #Trump #Biden #Election #Fraud #ElectionFraud #Michigan #TCFCenter",NEUTRAL,OPINIONATED
"Pro-Trump Marine Goes Off on DC Police After They Mace Stop the Steal Protesters, 'We Had Your F***ing Back, But We Ain’t Got Your Back No More!'Back the blue??? Not so much!",OPINIONATED,NEUTRAL
He looks horrible!,OPINIONATED,OPINIONATED
Don't forget It!,OPINIONATED,OPINIONATED
I hope she does I like her,OPINIONATED,OPINIONATED
THANK YOU PRESIDENT TRUMP,OPINIONATED,OPINIONATED
God wins in all,OPINIONATED,OPINIONATED
Powerful,OPINIONATED,OPINIONATED
"For me, prayer is a surge of the heart; it is a simple look turned toward heaven, it is a cry of recognition and of love, embracing both trial and joy.— St. Therese of Lisieux",OPINIONATED,OPINIONATED
"Fuck Antifa fuck BLM, certainly Fuck BLM Plaza such should not exist",OPINIONATED,OPINIONATED
Worthless nigger bitch,OPINIONATED,OPINIONATED
HAHAHA.....gkad you clarified I would have thought Obama had herpes,NEUTRAL,NEUTRAL
"If we can't prove this happened, we have lost our country!",NEUTRAL,OPINIONATED
is the day that will change our Country & hopefully to Good & Light!,OPINIONATED,OPINIONATED
'*' MUST SEE: '*'EXCLUSIVE: Potential Iranian Assassin Plot Triggered Trump’s Departure Of Mar-A-Lago,NEUTRAL,NEUTRAL
Actually this was orchestrated by The DNC when they set their Ballot Box Stuffing scheme in Motion. And fuck all the ball less wonders on Cap Hill who don't have the guts to stand up and call this shit the big pile of shit that it is.,OPINIONATED,OPINIONATED
Because it worked the last time and they Kemp/Raffensberger will do nothing.,OPINIONATED,OPINIONATED
"If the steal goes on, can we trade the Democrats Paul Ryan so that he can ruin their agenda for two years until the mid terms? 😂",OPINIONATED,NEUTRAL
"Here we go again, Twitter trying to make Trump look bad.",OPINIONATED,OPINIONATED
As he tells her he was not voted in to work for his constituents. “That’s not how the constitution works” - Mitt RomneyWhat a worthless piece of crap!,OPINIONATED,OPINIONATED
"You wait and see, all that’ll be said is “GOING FORWARD “we’ll have to do better!! Bullshit",NEUTRAL,OPINIONATED
@0Queb2·46mI AM HERE IN DC & so were many of my friends & family. Do NOT believe what the media is telling you. This violence shit was 100% staged. Don't believe me -ask anyone that was here! They shut the internet down so we couldn't live stream THE FUCKING TRUTH. @iamstigge @All777Love,OPINIONATED,NEUTRAL
A wonderful film. EVERYBODY should see it‼️,OPINIONATED,OPINIONATED
Traitorous fuck! End of story! Stop questioning it.,OPINIONATED,OPINIONATED
I suspect this video will be censored very soon. It's DEFINITELY worth the watch now while it's still viewable. Very empowering knowledge in my opinion.,OPINIONATED,OPINIONATED
Not a good flight for MITTENS ROMNEY! Funny thing is that I bet he is shocked at the response - lives in a bubble.🚨 He probably thought the confrontation at the gate was the worst of it. Nope.#sayit#romney#traitor,OPINIONATED,OPINIONATED
KEEP THE FAITH.,OPINIONATED,OPINIONATED
Biden is so dirty your mind can’t even comprehend it!,OPINIONATED,OPINIONATED
Dan you were so right on when speaking tonight on Fox News! Thank you for speaking for all of us !,OPINIONATED,OPINIONATED
"What a shame!! Arrest corrupt, crooked sick minded Biden’s!",OPINIONATED,OPINIONATED
My account is down what's happening.,OPINIONATED,OPINIONATED
Dems will never answer a thing!,OPINIONATED,OPINIONATED
Best video you will ever watch!!,OPINIONATED,OPINIONATED
The idiot buffoon,OPINIONATED,OPINIONATED
This is why we have the 2nd Amendment. Use it or lose it.,OPINIONATED,OPINIONATED
Scum,OPINIONATED,OPINIONATED
"Mitch McConnell’s future as Senate Majority Leader may be in jeopardy after President Trump said this about him on Twitter - Political Animal NewsPathetic doesn’t describe McConnell’s treachery accurately enough; he’s a typical, Deep State RINO and only interested in maintaining his own, selfish position. Another typical, political narcissist!!!",OPINIONATED,OPINIONATED
BURN IT DOWN!!!,OPINIONATED,OPINIONATED
Her story tells it all!,OPINIONATED,OPINIONATED
The US Postal Service has decided to make itself worthless and irrelevant. I suggest we treat them that way and Not use them anymore. A package of an Item ordered which shipped from New Jersey on Dec 28th still has not arrived in Manassas Va DEC 5. I Literally could have walked the package here by now. Don't tell me this is some kind of In House Glitch. This is some kind of JOb Action by the Postal Dept Management. Probably order by that twat Waffle Biden. So Fuck Him and Then. From Now on I will use every other service in the USA. and I have to ask the relevant question How Many Ballots for Trump are still there? Waiting for some flunky to take them out to the trash in the Middle of the night.,OPINIONATED,OPINIONATED
Believe in you!,OPINIONATED,OPINIONATED
"Thank you for reminding me that no matter who is in office, what is going on in the world, I still serve a king bigger than all of it!",OPINIONATED,OPINIONATED
#dcPD setting it u,NEUTRAL,NEUTRAL
Wow interesting insight Joe,OPINIONATED,OPINIONATED
Boy is that true.,OPINIONATED,OPINIONATED
ITS ANTIFA THAT STORMED THE GATES TO MAKE US LOOK BADLook caps are backwards and other ANTIFA WAYS,OPINIONATED,OPINIONATED
عم يكذبوا عليكم ما في كورونا,NEUTRAL,NEUTRAL
"There are so many millions of Trump supporters at the Stop The Steal event that Trump is speaking at next to the Washington monument that Phones calls, text messages, and social media isn’t working anymore. I had to leave the event just to post this.",OPINIONATED,NEUTRAL
Largest army ever formed to protect the great USA. We Will Prevail.,OPINIONATED,OPINIONATED
Comment if you’re in DC for Trump right now!⭐️👇⭐️👇⭐️👇⭐️,NEUTRAL,NEUTRAL
Interesting!,OPINIONATED,OPINIONATED
What bullshit,OPINIONATED,OPINIONATED
Ikr that's so messed u,OPINIONATED,OPINIONATED
"""I love Rock & Roll""",OPINIONATED,OPINIONATED
She was a weak candidate.,NEUTRAL,OPINIONATED
Fucking awesome!,OPINIONATED,OPINIONATED
Remember we were told this would happen. Future proves past.,OPINIONATED,OPINIONATED
Their first line of attack was fake news. Let this be perfectly clear! They media have been and continue too be enemy of the people. In a war! Enemies communication network gets shut down! Stop the propaganda operation mockingbird from ccp! Cut off their network! Let's roll patriots. Pass it on,NEUTRAL,OPINIONATED
Respect and Admiration ❤️🇺🇸💯👍,OPINIONATED,OPINIONATED
"Time to get all the patriots on the same page.If you believe in the Bill of Rights, and the Constitution as written.....you are golden.",OPINIONATED,OPINIONATED
History will judge you well.Q,OPINIONATED,OPINIONATED
Well here’s proof they planned the breaching of the Capital by ANTIFA/BLM all along. Looks like someone is as stupid as Biden. This was WRITTEN ON THE 5th🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,OPINIONATED,OPINIONATED
Damn straight correct,OPINIONATED,OPINIONATED
Bullshit,OPINIONATED,OPINIONATED
I found you!!!,OPINIONATED,OPINIONATED
TELLS THE TALE,OPINIONATED,OPINIONATED
One of the few good ones.,OPINIONATED,OPINIONATED
"Video 3: Unfortunately, here are another 5,000 votes being subtracted from Perdue live on ABC.",NEUTRAL,OPINIONATED
We'll see... They haven't done anything with the other information they had what makes us any different I'm really f****** pissed off at the allowed the Georgia election to go off just like the other one no safeguards it's f****** retarded,OPINIONATED,NEUTRAL
For you PIGLOSI. We love Trump and Tina.,OPINIONATED,OPINIONATED
Better to know. They will not be able to walk the streets,OPINIONATED,OPINIONATED
Hero,OPINIONATED,OPINIONATED
The loser speaks!He makes me vomit!,OPINIONATED,OPINIONATED
This mans is a commie bastard! I don’t care what he says!,OPINIONATED,OPINIONATED
Fuk that lying piece of shit traitor!! Fukin whole family is scum!! May they rot in hell.. NEVER EVER WILL BE MY PRESIDENT,OPINIONATED,OPINIONATED
Please Watch.,OPINIONATED,OPINIONATED
"I've heard from several Proud Boys who got home visits from federal agents today. Whatever's about to pop off, it's huge.",OPINIONATED,OPINIONATED
That will be a glorious moment,OPINIONATED,OPINIONATED
I CAN'T take it...anymore. someone stop this...NOW,OPINIONATED,OPINIONATED
Scum of the earth.,OPINIONATED,OPINIONATED
Bad news for Cuomo!,OPINIONATED,OPINIONATED
Our vote will never make a difference again. Why bother?? Politivians do not want to fix this shit.,OPINIONATED,OPINIONATED
Trump’s full speech calling for peace in DC that’s been censored and deleted,NEUTRAL,OPINIONATED
"Echo if you will stand by President Trump until the very end! And follow <a href=""/profile/DonaldTrumpfor2020/posts"" class=""at""><a href=""/profile/DonaldTrumpfor2020/posts"" class=""at"">@DonaldTrumpfor2020</a></a",NEUTRAL,NEUTRAL
It's our HOUSE!!!,OPINIONATED,OPINIONATED
Why are you even still at Twatter? I left 6 months ago.,NEUTRAL,OPINIONATED
Another Angel in Heaven - RIP,NEUTRAL,NEUTRAL
POLICE-ESCORTED buses filled with ANTIFA/BLM minions!Watch the video!,NEUTRAL,NEUTRAL
Powerful message by #TedCruz,OPINIONATED,OPINIONATED
Absolutely!!! Well said!,OPINIONATED,OPINIONATED
This is a photo from years ago - sorry...,OPINIONATED,OPINIONATED
"Yes, the liberals completely flip flopped today! So upset with most news coverage!!",OPINIONATED,OPINIONATED
I really think he set them up again. He could not invoke the insurrection act until there was an insurrection and he ordered them to cease and desist. He did that. The door is open. Hold the line.,NEUTRAL,NEUTRAL
Scumbag.,OPINIONATED,OPINIONATED
Such a disappointment!,OPINIONATED,OPINIONATED
"This is going to go nowhere because a black guy getting arrested for burning a BLM sign doesn’t fit the narrative.This is why Max and John are in prison and the third guy, a brown guy, didn’t even go to trial.",OPINIONATED,OPINIONATED
"Does anyone else have footage of the broadcast being cut to a promo exactly like this?If so, I apologize. Just seems like a big broadcasting blunder to be a legit clip.",OPINIONATED,OPINIONATED
She is a real piece of shit!Joe Biden and her are a perfect match.,OPINIONATED,OPINIONATED
Bye bye Republican Party it will be splintered into maga morons and republicans the insane and the kinda racist so dems win which is really not ideal there needs to be balance,OPINIONATED,NEUTRAL
"Why don’t the Dems want the audit of the election? Because they know what they did! That’s why! They say there’s no evidence. THAT IS A LIE! We, the people know this! Our government is so corrupt. I’m ashamed to be an American! Shame on the USA!",OPINIONATED,NEUTRAL
God is good,OPINIONATED,OPINIONATED
BEST BUY JUST LOST MY BUSINESS TODAY! THEY WOULDN'T LET ME ENTER THE STORE WITHOUT A MASK!,OPINIONATED,OPINIONATED
The last video I posted was banned from Youtube and deleted so here's a version uploaded directly from my hard drive - 'The Plot To Steal America' -,OPINIONATED,OPINIONATED
They must think we are stupid!?!?,OPINIONATED,OPINIONATED
PARDON ASSANGE AND SNOWDEN AND DECLASSIFY ALL CLASSIFIED INFO! OFFER MAXWELL COMPLETE IMMUNITY FROM PROSECUTION FOR HER COOPERATION AND IMPEACH ROBERTS NOW!,NEUTRAL,NEUTRAL
Works for me!,OPINIONATED,OPINIONATED
what attack? I feel like this joint session is a waste of time. they don't believe there was fraud ..which I just don't understand,OPINIONATED,OPINIONATED
"Trump and allies filed scores of lawsuits, tried to convince state legislatures to take action, organized protests and held hearings.. None of it worked.",OPINIONATED,OPINIONATED
He has won our hearts and souls.Proud of you. YOU WILL ALWAYS BE MY PRESIDENT.,OPINIONATED,OPINIONATED
Agreed!!!!,OPINIONATED,OPINIONATED
Our Patriot was right all along! 🙏🏻🙏🏻🙏🏻for Lin🙏🏻🙏🏻🙏🏻,OPINIONATED,OPINIONATED
"Hmmmm. Seems this post is ""vanishing"" from THIS platform. Can't imagine WHY!",OPINIONATED,OPINIONATED
"Well, it's apparent they did not catch up to Pence.",OPINIONATED,OPINIONATED
Amazing! Bless you Patriots!,OPINIONATED,OPINIONATED
YES,OPINIONATED,OPINIONATED
I fully support what’s happening at the Capital! Patriots are pissed! As we should be! We’re not burning or looting anything! We had to shut down this scam certification! We now know Pence is a Traitor as we suspected.,OPINIONATED,NEUTRAL
"Yes, Democrats you voted or cheated for this",NEUTRAL,NEUTRAL
Here We Go Again: DeKalb County Georgia is Re-Scanning Advance Ballots Because of 'Memory Card Issue'Anyone that doesn’t question the validity of Georgia elections is just plain STUPID,OPINIONATED,OPINIONATED
Beautiful!!,OPINIONATED,OPINIONATED
Fuck all the apologists and moral police. U have PUSHED US TOO FAR. its time for a RE-SET! CNN..msnbc..faux...can..ABC..supreme court... ALL NEED TO BE STORMED.,NEUTRAL,OPINIONATED
Good video. 👍,OPINIONATED,OPINIONATED
Uncle Teds letter is all true!,OPINIONATED,OPINIONATED
Accurate,OPINIONATED,OPINIONATED
"a href=""/profile/GOP/posts"" class=""at"">@GOP</a> <a href=""/profile/republicanparty/posts"" class=""at"">@republicanparty</a> tell pence he better hide like the coward POS he is",OPINIONATED,NEUTRAL
Always hold on tight to Faith.,OPINIONATED,OPINIONATED
God bless,OPINIONATED,OPINIONATED
That's just funny,OPINIONATED,OPINIONATED
Biden will further wreck government schools,OPINIONATED,OPINIONATED
"The woman who was killed—who was she? Was she a Trumpster, or Antifa posing as a Trumpster? What threat did she pose? Why was she shot and killed, and by whom? So far there seems to be very little media reporting or even curiosity about these obvious and germane questions",OPINIONATED,OPINIONATED
"I suspect this is far more important than we currently realize. Share it far and wide if you will, please.Thank you",OPINIONATED,OPINIONATED
BREAKING NEWS:That’s not what he said when he testified. Changing the story much???,OPINIONATED,OPINIONATED
"If you do not defend yourself, you may be killed. Worse is probably getting a permanent disability. Ultimately it is your choice. Remember that the Jews were too late to defend themselves or have heroes protect them. All humans are in danger this go around.",OPINIONATED,OPINIONATED
HE SURE DID.,OPINIONATED,OPINIONATED
This is war! We need to start acting like it!,OPINIONATED,OPINIONATED
Meanwhile....Another pathetic veiled threat from the king of the pussies himself....,OPINIONATED,OPINIONATED
We love Trump!,OPINIONATED,OPINIONATED
Keep Faith safe.... don’t worry we are winning this time,OPINIONATED,OPINIONATED
"Regardless of his past as a ""Showman"", in my humble opinion, President Trump is a TRUE PATRIOT that truly Loves this Great Nation and WE THE PEOPLE!",OPINIONATED,OPINIONATED
It’s getting dark out! Go Home. Antifa and BLM are coming out now!,NEUTRAL,NEUTRAL
Thank you Rush.,OPINIONATED,OPINIONATED
"❤God, please make it so!",OPINIONATED,OPINIONATED
"Today, the Republican Party lost 70+% of their voters. And they’re too arrogant, stupid, and out-of-touch to realize itPATRIOT PARTY NOW🇺🇸🗽🦅",NEUTRAL,OPINIONATED
Nancy and the demonrats own every single person that’s against Our President! But Donald J. Trump belongs to God himself! Do not give up on him! He has never given up on us!!! Now is the time when you think everything is falling around us to drop to your knees and pray for Our Fearless Leader! My God himself carry our POTUS through all the evil that has come and will continue to come to him! Let All Americans life President Trump up to the lord for all protection from any and all evil!,NEUTRAL,NEUTRAL
"No justice no peace, sadly.",OPINIONATED,OPINIONATED
Make America Great Again.,OPINIONATED,OPINIONATED
Hello Congress? You listening?,NEUTRAL,NEUTRAL
Good. Take it over. It's our house now.,OPINIONATED,OPINIONATED
Was this posted on Twitter? It's not on her Parler account.,OPINIONATED,OPINIONATED
Yes they absolutely are,OPINIONATED,OPINIONATED
It’s all fake.,OPINIONATED,OPINIONATED
Love you Lin Wood.,OPINIONATED,OPINIONATED
This is incredible!! #1776worldwide,OPINIONATED,OPINIONATED
Welcome 😊,OPINIONATED,OPINIONATED
"Godspeed CM, shatter the scales.",NEUTRAL,NEUTRAL
"They keep saying Trump protesters. I'm not convinced. Only a few dozen actually went inside. Crazy outfits and MAGA caps on backward. A white supremacist t-shirt. Tweets from Antifa/BLM Saturday telling their people to wear MAGA gear, carry flags and blend in. I think maybe Antifa/BLM started and lead people and maybe Trumpers stopped at the door while the anarchists entered.",NEUTRAL,OPINIONATED
"Okay, Fox, you have hit an all-time-low. When you send me an alert about ‘Breaking News’, it should be important! Telling me that two worthless pieces of scum are probably getting a divorce is NOT important, and it sure as hell is not ‘Breaking News’!",NEUTRAL,OPINIONATED
Perfect I’m so proud of you guys!!! Give them HELL🔥🤬!!!!,OPINIONATED,OPINIONATED
Good friggin job Jim!,OPINIONATED,OPINIONATED
Such a beautiful sight 🇺🇸,OPINIONATED,OPINIONATED
So sad!,NEUTRAL,OPINIONATED
"Washington DC Police are domestic terrorists. If you arbitrarily “back the blue” you need your head checked.My stance, until all of Law Enforcement comes together to stand with The Constitution, the American patriot and against police corruption, is Fuck the Police.",OPINIONATED,OPINIONATED
I believe it,OPINIONATED,OPINIONATED
Leadership and Courage at Work for our Country ❤️🇺🇸💯👍,OPINIONATED,OPINIONATED
"Since money is so important to the new FAKE government, everyone stop paying them. Don't pay taxes!!! I refuse to pay them!!!",NEUTRAL,OPINIONATED
Good!,OPINIONATED,OPINIONATED
CBP: 450 Miles of New Border Walls Completed -- Funding for 350 More Approved,NEUTRAL,NEUTRAL
Pray for Trump and his family.,NEUTRAL,NEUTRAL
The dump of 120000 for osseff and about 80000 for warnock happened around 11:15pm,NEUTRAL,OPINIONATED
Bullshit !,OPINIONATED,OPINIONATED
"a href=""/profile/Lightwriter/posts"" class=""at"">@Lightwriter</a> I’m already sick!! Warnock did not honestly win that seat!",OPINIONATED,OPINIONATED
Facebook annihilated our reach on their platform for “going against their community standards” for “sharing misleading or false information” about the election. We only posted articles that other pages were posting. #bigtech #censorship #stopcensorship #facebookcensorship #freespeech,OPINIONATED,NEUTRAL
"More Dominion machines ""malfunctions"" in Ga today.No action was ever taken by the GA SecSt or Governor to fix Dominion "" problems"" after the general election so its obvious these were planned problems.",OPINIONATED,OPINIONATED
Correct,OPINIONATED,OPINIONATED
The fucking search on this app is broken,OPINIONATED,OPINIONATED
Interesting.,OPINIONATED,OPINIONATED
"Echo the best video of the day !! Please , Please Echo share email ect Get this so the whole world will see what is really happening .Thank you all hard working Patriots .......God Bless 🙏",OPINIONATED,OPINIONATED
"atriot martyr✝️🙏God bless her , im sure she's heaven.",OPINIONATED,OPINIONATED
Thank you Lord.Jones has seen the light.,OPINIONATED,OPINIONATED
Valid point,OPINIONATED,OPINIONATED
Well said brother,OPINIONATED,OPINIONATED
Deciding The Electoral Votes January 6: Vice President Pence Shadows Vice President Thomas Jefferson – Political Vel Craft,NEUTRAL,NEUTRAL
"2021 is going to be a big year. Rumble has a lot to live up to.A few things on the docket for 2021:- Live streaming- Closed captioning- Major Roku/FireTV/GoogleTV updates- Apple TV app- Self-serve advertising systemMost importantly, fighting against big tech who is always trying to find a reason to take us down.",NEUTRAL,NEUTRAL
Not a smart move.,OPINIONATED,OPINIONATED
GLORIOUS!,OPINIONATED,OPINIONATED
Looks like they we’re stupid! 😳,OPINIONATED,OPINIONATED
Free men don’t ask permission.,NEUTRAL,NEUTRAL
Abandon,OPINIONATED,OPINIONATED
Facebook blocked it too,OPINIONATED,OPINIONATED
I tried posting on Facebook and they took this down. Said it was not true!,OPINIONATED,OPINIONATED
These media outlets just can't believe what is happening (BELIEVE it NOW Mother Fuckers),OPINIONATED,OPINIONATED
Restaurant Chain Brags About Lower Percentage of White Workers - It Backfires Badly,OPINIONATED,OPINIONATED
Totally awesome of these patriots!!! Wish I was there! USA🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,OPINIONATED,OPINIONATED
That's right! Very refreshing!,OPINIONATED,OPINIONATED
Yes it does sister!,OPINIONATED,OPINIONATED
Listen from the beginning....the best libertarian take of today's events. Thank you Ryan Dawson!,OPINIONATED,OPINIONATED
Cannot believe the citizens of GEORGIA DID THIS!!!,NEUTRAL,NEUTRAL
God love this precious Marine!,OPINIONATED,OPINIONATED
If GA loses our country for us I hope they burn to the fucking ground. That state is a fucking embarrassment. I was born there and ashamed to say it. Fuck You GA for fucking our President.,OPINIONATED,OPINIONATED
"I really hate to say this, but this is all starting to sound like a lot of b.s.. Two months of hearing empty threats of all this supposed evidence and here we are.... nothing!",OPINIONATED,OPINIONATED
"As the end of his presidency edges closer, President Trump appears to have lost all contact with reality. It's sad to witness. I never thought I would say this, but January 20th can't come soon enough.",OPINIONATED,OPINIONATED
That is awesome,OPINIONATED,OPINIONATED
Well...McConnell and Schumer are eloquently denouncing the importance of a fair election.,NEUTRAL,NEUTRAL
Wow!!!,OPINIONATED,OPINIONATED
Do we even really have comedy anymore ?Suddenly everything is racist and faces jail time,OPINIONATED,OPINIONATED
"No justice, no peace.No justice no Pence!",NEUTRAL,OPINIONATED
"How many of you dumb ass #trump supporters bought a #MyPillow haha you’re so stupid, you got caught in the grift! Hahahah",OPINIONATED,OPINIONATED
It is a blessing of inimitable profundity to have impromptu conversations about God with young children. Following in the path of his Mommy and Uncle is our grandson. He warms my heart with his care and understanding of The LORD who is ἀγάπη.#GrampsLife #agapἀγάπη,OPINIONATED,OPINIONATED
DC cops = Joe Biden's SS,NEUTRAL,NEUTRAL
Pence will go down in history as a weak turncoat.,OPINIONATED,OPINIONATED
When? When? When? Sick of it,OPINIONATED,OPINIONATED
Nothing. Can. Stop. What. Is. Coming. NOTHING! WWG1WGA❤🌍❤🇺🇸🇮🇪#Q #Qanon #Qarmy #holdtheline #stopthesteal #trump2020 #trumptrain #thegreatawakening #patriots #parlerireland  #thebestisyettocome #watchthewater #irishpatriots  #nothingcanstopwhatiscoming #generalflynn #sydneypowell #linwood #patriotsworldwide,OPINIONATED,NEUTRAL
What an honor tonight was! We are in the fight!,OPINIONATED,OPINIONATED
Bastards.,OPINIONATED,OPINIONATED
